Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 13:56:41	3	0	0	0	0	0	1
2022/08/12 13:56:42	1	0	0	0	0	0	1
2022/08/12 13:56:43	2	0	0	0	0	0	1
2022/08/12 13:56:44	2	0	0	0	0	0	1
2022/08/12 13:56:45	0	0	0	0	0	0	1
2022/08/12 13:56:46	1	0	0	0	0	0	1
2022/08/12 13:56:47	0	0	0	0	0	0	1
2022/08/12 13:56:48	0	0	0	0	0	0	1
2022/08/12 13:56:49	0	0	0	0	0	0	1
2022/08/12 13:56:50	0	0	0	0	0	0	1
2022/08/12 13:56:51	0	0	0	0	0	0	1
2022/08/12 13:56:52	0	0	0	0	0	0	1
2022/08/12 13:56:53	0	0	0	0	0	0	1
2022/08/12 13:56:54	1	0	0	0	0	0	1
2022/08/12 13:56:55	0	0	0	0	0	0	1
2022/08/12 13:56:56	1	0	0	0	0	0	1
2022/08/12 13:56:57	0	0	0	0	0	0	1
2022/08/12 13:56:58	2	0	0	0	0	0	1
2022/08/12 13:56:59	2	0	0	0	0	0	1
2022/08/12 13:57:00	1	0	0	0	0	0	1
2022/08/12 13:57:01	0	0	0	0	0	0	1
2022/08/12 13:57:02	1	0	0	0	0	0	1
2022/08/12 13:57:03	1	0	0	0	0	0	1
2022/08/12 13:57:04	0	0	0	0	0	0	1
2022/08/12 13:57:05	0	0	0	0	0	0	1
2022/08/12 13:57:06	0	0	0	0	0	0	1
2022/08/12 13:57:07	1	0	0	0	0	0	1
2022/08/12 13:57:08	1	0	0	0	0	0	1
2022/08/12 13:57:09	1	0	0	0	0	0	1
2022/08/12 13:57:10	1	0	0	0	0	0	1
2022/08/12 13:57:11	0	0	0	0	0	0	1
2022/08/12 13:57:12	1	0	0	0	0	0	1
2022/08/12 13:57:13	0	0	0	0	0	0	1
2022/08/12 13:57:14	0	0	0	0	0	0	1
2022/08/12 13:57:15	0	0	0	0	0	0	1
2022/08/12 13:57:16	0	0	0	0	0	0	1
2022/08/12 13:57:17	0	0	0	0	0	0	1
2022/08/12 13:57:18	0	0	0	0	0	0	1
2022/08/12 13:57:19	9	0	0	0	0	0	1
2022/08/12 13:57:20	1	0	0	0	0	0	1
2022/08/12 13:57:21	1	0	0	0	0	0	1
2022/08/12 13:57:22	0	0	0	0	0	0	1
2022/08/12 13:57:23	0	0	0	0	0	0	1
2022/08/12 13:57:24	0	0	0	0	0	0	1
