Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 15:06:35	0	0	0	0	0	0	1
2022/08/12 15:06:36	0	0	0	0	0	0	1
2022/08/12 15:06:37	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:06:38	0	0	0	0	0	0	1
2022/08/12 15:06:39	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:06:40	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:06:41	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:06:42	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:06:43	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:06:44	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:06:45	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:06:46	0	0	0	0	0	0	1
2022/08/12 15:06:47	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:06:48	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:06:49	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:06:50	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:06:51	0	0	0	0	0	0	1
2022/08/12 15:06:52	0	0	0	0	0	0	1
2022/08/12 15:06:53	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:06:54	0	0	0	0	0	0	1
2022/08/12 15:06:55	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:06:56	0	0	0	0	0	0	1
2022/08/12 15:06:57	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:06:58	0	0	0	0	0	0	1
2022/08/12 15:06:59	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:00	0	0	0	0	0	0	1
2022/08/12 15:07:01	0	0	0	0	0	0	1
2022/08/12 15:07:02	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:03	0	0	0	0	0	0	1
2022/08/12 15:07:04	0	0	0	0	0	0	1
2022/08/12 15:07:05	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:07:06	0	0	0	0	0	0	1
2022/08/12 15:07:07	0	0	0	0	0	0	1
2022/08/12 15:07:08	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:09	0	0	0	0	0	0	1
2022/08/12 15:07:10	0	0	0	0	0	0	1
2022/08/12 15:07:11	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:12	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:13	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:14	0	0	0	0	0	0	1
2022/08/12 15:07:15	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:16	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:17	0	0	0	0	0	0	1
2022/08/12 15:07:18	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:19	0	0	0	0	0	0	1
2022/08/12 15:07:20	0	0	0	0	0	0	1
2022/08/12 15:07:21	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:07:22	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:23	0	0	0	0	0	0	1
2022/08/12 15:07:24	0	0	0	0	0	0	1
2022/08/12 15:07:25	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:26	0	0	0	0	0	0	1
2022/08/12 15:07:27	0	0	0	0	0	0	1
2022/08/12 15:07:28	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:29	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:07:30	0	0	0	0	0	0	1
2022/08/12 15:07:31	0	0	0	0	0	0	1
2022/08/12 15:07:32	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:33	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:34	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:35	0	0	0	0	0	0	1
2022/08/12 15:07:36	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:37	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:38	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:39	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:07:40	0	0	0	0	0	0	1
2022/08/12 15:07:41	3	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 15:07:42	0	0	0	0	0	0	1
2022/08/12 15:07:43	0	0	0	0	0	0	1
