Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 15:01:33	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:01:34	0	0	0	0	0	0	1
2022/08/12 15:01:35	0	0	0	0	0	0	1
2022/08/12 15:01:36	0	0	0	0	0	0	1
2022/08/12 15:01:37	0	0	0	0	0	0	1
2022/08/12 15:01:38	0	0	0	0	0	0	1
2022/08/12 15:01:39	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:01:40	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:01:41	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:01:42	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:01:43	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:01:44	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:01:45	0	0	0	0	0	0	1
2022/08/12 15:01:46	0	0	0	0	0	0	1
2022/08/12 15:01:47	0	0	0	0	0	0	1
2022/08/12 15:01:48	0	0	0	0	0	0	1
2022/08/12 15:01:49	0	0	0	0	0	0	1
2022/08/12 15:01:50	0	0	0	0	0	0	1
2022/08/12 15:01:51	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:01:52	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:01:53	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:01:54	0	0	0	0	0	0	1
2022/08/12 15:01:55	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:01:56	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:01:57	3	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 15:01:58	3	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 15:01:59	0	0	0	0	0	0	1
2022/08/12 15:02:00	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:02:01	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:02:02	0	0	0	0	0	0	1
2022/08/12 15:02:03	0	0	0	0	0	0	1
2022/08/12 15:02:04	3	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 15:02:05	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:02:06	0	0	0	0	0	0	1
2022/08/12 15:02:07	3	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 15:02:08	0	0	0	0	0	0	1
2022/08/12 15:02:09	0	0	0	0	0	0	1
2022/08/12 15:02:10	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:02:11	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:02:12	0	0	0	0	0	0	1
2022/08/12 15:02:13	0	0	0	0	0	0	1
2022/08/12 15:02:14	3	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 15:02:15	3	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 15:02:16	0	0	0	0	0	0	1
2022/08/12 15:02:17	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:02:18	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:02:19	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:02:20	0	0	0	0	0	0	1
2022/08/12 15:02:21	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:02:22	0	0	0	0	0	0	1
2022/08/12 15:02:23	0	0	0	0	0	0	1
2022/08/12 15:02:24	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:02:25	0	0	0	0	0	0	1
2022/08/12 15:02:26	0	0	0	0	0	0	1
2022/08/12 15:02:27	4	4	240	71.8562874251497	0.0718562874251497	0.718562874251497	1
2022/08/12 15:02:28	0	0	0	0	0	0	1
2022/08/12 15:02:29	0	0	0	0	0	0	1
2022/08/12 15:02:30	0	0	0	0	0	0	1
2022/08/12 15:02:31	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:02:32	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:02:33	0	0	0	0	0	0	1
2022/08/12 15:02:34	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:02:35	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:02:36	0	0	0	0	0	0	1
2022/08/12 15:02:37	0	0	0	0	0	0	1
2022/08/12 15:02:38	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
