Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 15:00:03	3	0	0	0	0	0	1
2022/08/12 15:00:04	0	0	0	0	0	0	1
2022/08/12 15:00:05	2	0	0	0	0	0	1
2022/08/12 15:00:06	0	0	0	0	0	0	1
2022/08/12 15:00:07	1	0	0	0	0	0	1
2022/08/12 15:00:08	1	0	0	0	0	0	1
2022/08/12 15:00:09	4	0	0	0	0	0	1
2022/08/12 15:00:10	0	0	0	0	0	0	1
2022/08/12 15:00:11	0	0	0	0	0	0	1
2022/08/12 15:00:12	0	0	0	0	0	0	1
2022/08/12 15:00:13	1	0	0	0	0	0	1
2022/08/12 15:00:14	1	0	0	0	0	0	1
2022/08/12 15:00:16	0	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 15:00:17	2	0	0	0	0	0	1
2022/08/12 15:00:18	1	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:00:19	2	0	0	0	0	0	1
2022/08/12 15:00:20	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:21	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:22	1	4	240	71.8562874251497	0.0718562874251497	0.718562874251497	1
2022/08/12 15:00:23	1	0	0	0	0	0	1
2022/08/12 15:00:24	0	0	0	0	0	0	1
2022/08/12 15:00:25	0	0	0	0	0	0	1
2022/08/12 15:00:26	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:27	3	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:28	1	0	0	0	0	0	1
2022/08/12 15:00:29	1	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:00:30	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:31	1	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:00:32	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:33	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:34	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:35	2	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:36	0	0	0	0	0	0	1
2022/08/12 15:00:37	2	0	0	0	0	0	1
2022/08/12 15:00:38	0	0	0	0	0	0	1
2022/08/12 15:00:39	1	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 15:00:40	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:41	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:42	2	0	0	0	0	0	1
2022/08/12 15:00:43	3	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:44	0	0	0	0	0	0	1
2022/08/12 15:00:45	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:46	1	0	0	0	0	0	1
2022/08/12 15:00:47	1	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:00:48	0	0	0	0	0	0	1
2022/08/12 15:00:49	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 15:00:50	2	0	0	0	0	0	1
2022/08/12 15:00:51	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 15:00:52	0	0	0	0	0	0	1
