Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 10:32:44	0	0	0	0	0	0	1
2022/08/12 10:32:45	0	0	0	0	0	0	1
2022/08/12 10:32:46	0	0	0	0	0	0	1
2022/08/12 10:32:47	1	0	0	0	0	0	1
2022/08/12 10:32:48	1	0	0	0	0	0	1
2022/08/12 10:32:49	0	0	0	0	0	0	1
2022/08/12 10:32:50	1	0	0	0	0	0	1
2022/08/12 10:32:51	1	0	0	0	0	0	1
2022/08/12 10:32:52	2	0	0	0	0	0	1
2022/08/12 10:32:53	0	0	0	0	0	0	1
2022/08/12 10:32:54	0	0	0	0	0	0	1
2022/08/12 10:32:55	1	0	0	0	0	0	1
2022/08/12 10:32:56	0	0	0	0	0	0	1
2022/08/12 10:32:57	2	0	0	0	0	0	1
2022/08/12 10:32:58	0	0	0	0	0	0	1
2022/08/12 10:32:59	0	0	0	0	0	0	1
2022/08/12 10:33:00	0	0	0	0	0	0	1
2022/08/12 10:33:01	1	0	0	0	0	0	1
2022/08/12 10:33:02	0	0	0	0	0	0	1
2022/08/12 10:33:04	0	0	0	0	0	0	1
2022/08/12 10:33:05	2	0	0	0	0	0	1
2022/08/12 10:33:06	2	0	0	0	0	0	1
2022/08/12 10:33:07	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:08	2	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:09	1	0	0	0	0	0	1
2022/08/12 10:33:10	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:11	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:12	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:33:13	0	0	0	0	0	0	1
2022/08/12 10:33:14	1	0	0	0	0	0	1
2022/08/12 10:33:15	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:16	3	0	0	0	0	0	1
2022/08/12 10:33:17	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:33:18	0	0	0	0	0	0	1
2022/08/12 10:33:19	1	0	0	0	0	0	1
2022/08/12 10:33:20	1	0	0	0	0	0	1
2022/08/12 10:33:21	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:22	1	0	0	0	0	0	1
2022/08/12 10:33:23	3	0	0	0	0	0	1
2022/08/12 10:33:24	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:33:25	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:33:26	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:27	3	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:33:28	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:29	0	0	0	0	0	0	1
2022/08/12 10:33:30	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:31	0	0	0	0	0	0	1
2022/08/12 10:33:32	2	0	0	0	0	0	1
2022/08/12 10:33:33	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:34	0	0	0	0	0	0	1
2022/08/12 10:33:35	2	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 10:33:36	0	0	0	0	0	0	1
2022/08/12 10:33:37	1	0	0	0	0	0	1
2022/08/12 10:33:38	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:39	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:40	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:41	3	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:33:42	0	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 10:33:43	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
