Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 10:42:37	0	0	0	0	0	0	1
2022/08/12 10:42:38	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:42:39	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:42:40	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:42:41	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:42:42	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:42:43	0	0	0	0	0	0	1
2022/08/12 10:42:44	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:42:45	0	0	0	0	0	0	1
2022/08/12 10:42:46	0	0	0	0	0	0	1
2022/08/12 10:42:47	0	0	0	0	0	0	1
2022/08/12 10:42:48	0	0	0	0	0	0	1
2022/08/12 10:42:49	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:42:50	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:42:51	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:42:52	0	0	0	0	0	0	1
2022/08/12 10:42:53	0	0	0	0	0	0	1
2022/08/12 10:42:54	0	0	0	0	0	0	1
2022/08/12 10:42:55	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:42:56	0	0	0	0	0	0	1
2022/08/12 10:42:57	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:42:58	0	0	0	0	0	0	1
2022/08/12 10:42:59	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:00	0	0	0	0	0	0	1
2022/08/12 10:43:01	0	0	0	0	0	0	1
2022/08/12 10:43:02	0	0	0	0	0	0	1
2022/08/12 10:43:03	0	0	0	0	0	0	1
2022/08/12 10:43:04	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:05	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:06	0	0	0	0	0	0	1
2022/08/12 10:43:07	0	0	0	0	0	0	1
2022/08/12 10:43:08	0	0	0	0	0	0	1
2022/08/12 10:43:09	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:43:10	0	0	0	0	0	0	1
2022/08/12 10:43:11	0	0	0	0	0	0	1
2022/08/12 10:43:12	0	0	0	0	0	0	1
2022/08/12 10:43:13	0	0	0	0	0	0	1
2022/08/12 10:43:14	0	0	0	0	0	0	1
2022/08/12 10:43:15	0	0	0	0	0	0	1
2022/08/12 10:43:16	0	0	0	0	0	0	1
2022/08/12 10:43:17	0	0	0	0	0	0	1
2022/08/12 10:43:18	0	0	0	0	0	0	1
2022/08/12 10:43:19	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:20	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:21	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:22	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:43:23	0	0	0	0	0	0	1
2022/08/12 10:43:24	0	0	0	0	0	0	1
2022/08/12 10:43:25	0	0	0	0	0	0	1
2022/08/12 10:43:26	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:43:27	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:28	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:29	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:43:30	0	0	0	0	0	0	1
2022/08/12 10:43:31	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:43:32	0	0	0	0	0	0	1
2022/08/12 10:43:33	0	0	0	0	0	0	1
2022/08/12 10:43:34	0	0	0	0	0	0	1
2022/08/12 10:43:35	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:43:36	0	0	0	0	0	0	1
2022/08/12 10:43:37	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:38	0	0	0	0	0	0	1
2022/08/12 10:43:39	0	0	0	0	0	0	1
2022/08/12 10:43:40	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:41	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:42	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:43	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:44	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:43:45	0	0	0	0	0	0	1
2022/08/12 10:43:46	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:47	0	0	0	0	0	0	1
2022/08/12 10:43:48	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:49	0	0	0	0	0	0	1
2022/08/12 10:43:50	3	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 10:43:51	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:52	0	0	0	0	0	0	1
2022/08/12 10:43:53	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:54	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:43:55	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:43:56	0	0	0	0	0	0	1
2022/08/12 10:43:57	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:43:58	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:43:59	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:44:00	0	0	0	0	0	0	1
2022/08/12 10:44:01	0	0	0	0	0	0	1
2022/08/12 10:44:02	0	0	0	0	0	0	1
2022/08/12 10:44:03	0	0	0	0	0	0	1
2022/08/12 10:44:04	0	0	0	0	0	0	1
2022/08/12 10:44:05	0	0	0	0	0	0	1
2022/08/12 10:44:06	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:44:07	0	0	0	0	0	0	1
2022/08/12 10:44:08	0	0	0	0	0	0	1
2022/08/12 10:44:09	0	0	0	0	0	0	1
2022/08/12 10:44:10	0	0	0	0	0	0	1
2022/08/12 10:44:11	0	0	0	0	0	0	1
2022/08/12 10:44:12	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:44:13	0	0	0	0	0	0	1
2022/08/12 10:44:14	0	0	0	0	0	0	1
2022/08/12 10:44:15	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:44:16	0	0	0	0	0	0	1
2022/08/12 10:44:17	0	0	0	0	0	0	1
2022/08/12 10:44:18	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:44:19	0	0	0	0	0	0	1
2022/08/12 10:44:20	0	0	0	0	0	0	1
2022/08/12 10:44:21	0	0	0	0	0	0	1
2022/08/12 10:44:22	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:44:23	0	0	0	0	0	0	1
2022/08/12 10:44:24	0	0	0	0	0	0	1
2022/08/12 10:44:25	0	0	0	0	0	0	1
2022/08/12 10:44:26	0	0	0	0	0	0	1
2022/08/12 10:44:27	0	0	0	0	0	0	1
2022/08/12 10:44:28	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:44:29	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:44:30	0	0	0	0	0	0	1
2022/08/12 10:44:31	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:44:32	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:44:33	0	0	0	0	0	0	1
2022/08/12 10:44:34	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:44:35	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:44:36	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:44:37	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:44:38	0	0	0	0	0	0	1
2022/08/12 10:44:39	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:44:40	0	0	0	0	0	0	1
2022/08/12 10:44:41	0	0	0	0	0	0	1
2022/08/12 10:44:42	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:44:43	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:44:44	0	0	0	0	0	0	1
2022/08/12 10:44:45	0	0	0	0	0	0	1
