Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 10:40:48	0	0	0	0	0	0	1
2022/08/12 10:40:49	1	0	0	0	0	0	1
2022/08/12 10:40:50	0	0	0	0	0	0	1
2022/08/12 10:40:51	1	0	0	0	0	0	1
2022/08/12 10:40:52	0	0	0	0	0	0	1
2022/08/12 10:40:53	1	0	0	0	0	0	1
2022/08/12 10:40:54	0	0	0	0	0	0	1
2022/08/12 10:40:55	3	0	0	0	0	0	1
2022/08/12 10:40:56	0	0	0	0	0	0	1
2022/08/12 10:40:57	0	0	0	0	0	0	1
2022/08/12 10:40:58	3	0	0	0	0	0	1
2022/08/12 10:40:59	2	0	0	0	0	0	1
2022/08/12 10:41:00	0	0	0	0	0	0	1
2022/08/12 10:41:01	1	0	0	0	0	0	1
2022/08/12 10:41:02	0	0	0	0	0	0	1
2022/08/12 10:41:03	0	0	0	0	0	0	1
2022/08/12 10:41:04	0	0	0	0	0	0	1
2022/08/12 10:41:05	1	0	0	0	0	0	1
2022/08/12 10:41:06	1	0	0	0	0	0	1
2022/08/12 10:41:07	1	0	0	0	0	0	1
2022/08/12 10:41:08	1	0	0	0	0	0	1
2022/08/12 10:41:09	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:10	3	0	0	0	0	0	1
2022/08/12 10:41:11	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:12	0	0	0	0	0	0	1
2022/08/12 10:41:13	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:14	0	0	0	0	0	0	1
2022/08/12 10:41:15	0	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 10:41:16	0	0	0	0	0	0	1
2022/08/12 10:41:17	0	0	0	0	0	0	1
2022/08/12 10:41:18	1	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 10:41:19	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/12 10:41:20	0	0	0	0	0	0	1
2022/08/12 10:41:21	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:22	0	0	0	0	0	0	1
2022/08/12 10:41:23	1	0	0	0	0	0	1
2022/08/12 10:41:24	1	0	0	0	0	0	1
2022/08/12 10:41:25	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:26	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:27	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:28	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:29	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:30	1	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/12 10:41:31	0	0	0	0	0	0	1
2022/08/12 10:41:32	2	0	0	0	0	0	1
2022/08/12 10:41:33	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:34	1	0	0	0	0	0	1
2022/08/12 10:41:35	0	0	0	0	0	0	1
2022/08/12 10:41:36	0	0	0	0	0	0	1
2022/08/12 10:41:37	0	0	0	0	0	0	1
2022/08/12 10:41:38	2	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:39	0	0	0	0	0	0	1
2022/08/12 10:41:40	1	0	0	0	0	0	1
2022/08/12 10:41:41	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:42	1	0	0	0	0	0	1
2022/08/12 10:41:43	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:44	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:45	2	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/12 10:41:46	0	0	0	0	0	0	1
2022/08/12 10:41:47	0	0	0	0	0	0	0
2022/08/12 10:41:48	0	0	0	0	0	0	0
2022/08/12 10:41:49	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/12 10:41:50	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/12 10:41:51	0	0	0	0	0	0	0
2022/08/12 10:41:52	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	0
2022/08/12 10:41:53	0	0	0	0	0	0	0
2022/08/12 10:41:54	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/12 10:41:55	0	0	0	0	0	0	0
2022/08/12 10:41:56	0	0	0	0	0	0	0
2022/08/12 10:41:57	0	0	0	0	0	0	0
2022/08/12 10:41:58	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	0
2022/08/12 10:41:59	0	0	0	0	0	0	0
2022/08/12 10:42:00	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/12 10:42:01	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/12 10:42:02	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/12 10:42:03	0	0	0	0	0	0	0
2022/08/12 10:42:04	0	0	0	0	0	0	0
2022/08/12 10:42:05	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	0
2022/08/12 10:42:06	0	0	0	0	0	0	0
