Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 10.07.25	0	0	0	0	0	0	1
2022/08/12 10.07.26	0	0	0	0	0	0	1
2022/08/12 10.07.27	0	0	0	0	0	0	1
2022/08/12 10.07.28	0	0	0	0	0	0	1
2022/08/12 10.07.29	0	0	0	0	0	0	1
2022/08/12 10.07.30	1	0	0	0	0	0	1
2022/08/12 10.07.31	2	0	0	0	0	0	1
2022/08/12 10.07.32	0	0	0	0	0	0	1
2022/08/12 10.07.33	1	0	0	0	0	0	1
2022/08/12 10.07.34	3	0	0	0	0	0	1
2022/08/12 10.07.35	2	0	0	0	0	0	1
2022/08/12 10.07.36	0	0	0	0	0	0	1
2022/08/12 10.07.37	1	0	0	0	0	0	1
2022/08/12 10.07.38	1	0	0	0	0	0	1
2022/08/12 10.07.39	3	0	0	0	0	0	1
2022/08/12 10.07.40	1	0	0	0	0	0	1
2022/08/12 10.07.41	0	0	0	0	0	0	1
2022/08/12 10.07.42	0	0	0	0	0	0	1
2022/08/12 10.07.43	0	0	0	0	0	0	1
2022/08/12 10.07.44	0	0	0	0	0	0	1
2022/08/12 10.07.45	0	0	0	0	0	0	1
2022/08/12 10.07.46	1	0	0	0	0	0	1
2022/08/12 10.07.47	3	0	0	0	0	0	1
2022/08/12 10.07.48	0	0	0	0	0	0	1
2022/08/12 10.07.49	1	0	0	0	0	0	1
2022/08/12 10.07.50	1	0	0	0	0	0	1
2022/08/12 10.07.52	1	0	0	0	0	0	1
2022/08/12 10.07.53	1	0	0	0	0	0	1
2022/08/12 10.07.54	0	0	0	0	0	0	1
2022/08/12 10.07.55	2	0	0	0	0	0	1
2022/08/12 10.07.56	2	0	0	0	0	0	1
2022/08/12 10.07.57	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.07.58	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.07.59	1	0	0	0	0	0	1
2022/08/12 10.08.00	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.01	1	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.08.02	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.08.03	1	0	0	0	0	0	1
2022/08/12 10.08.04	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.05	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.06	0	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.08.07	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.08	0	0	0	0	0	0	1
2022/08/12 10.08.09	0	0	0	0	0	0	1
2022/08/12 10.08.10	1	0	0	0	0	0	1
2022/08/12 10.08.11	2	0	0	0	0	0	1
2022/08/12 10.08.12	0	0	0	0	0	0	1
2022/08/12 10.08.13	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.14	0	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.08.15	1	0	0	0	0	0	1
2022/08/12 10.08.16	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.17	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.18	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.19	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.20	1	0	0	0	0	0	1
2022/08/12 10.08.21	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.08.22	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.08.23	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.08.24	1	0	0	0	0	0	1
2022/08/12 10.08.25	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.26	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.27	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.28	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.29	3	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.30	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.31	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.08.32	2	0	0	0	0	0	1
2022/08/12 10.08.33	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.34	3	0	0	0	0	0	1
2022/08/12 10.08.35	2	0	0	0	0	0	1
2022/08/12 10.08.36	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.08.37	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
