Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 11.00.30	0	0	0	0	0	0	1
2022/08/12 11.00.31	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.00.32	0	0	0	0	0	0	1
2022/08/12 11.00.33	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.00.34	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.00.35	0	0	0	0	0	0	1
2022/08/12 11.00.36	0	0	0	0	0	0	1
2022/08/12 11.00.37	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.00.38	0	0	0	0	0	0	1
2022/08/12 11.00.39	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.00.40	0	0	0	0	0	0	1
2022/08/12 11.00.41	0	0	0	0	0	0	1
2022/08/12 11.00.42	0	0	0	0	0	0	1
2022/08/12 11.00.43	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.00.44	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.00.45	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.00.46	0	0	0	0	0	0	1
2022/08/12 11.00.47	0	0	0	0	0	0	1
2022/08/12 11.00.48	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.00.49	0	0	0	0	0	0	1
2022/08/12 11.00.50	0	0	0	0	0	0	1
2022/08/12 11.00.51	0	0	0	0	0	0	1
2022/08/12 11.00.52	0	0	0	0	0	0	1
2022/08/12 11.00.53	0	0	0	0	0	0	1
2022/08/12 11.00.54	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.00.55	0	0	0	0	0	0	1
2022/08/12 11.00.56	0	0	0	0	0	0	1
2022/08/12 11.00.57	0	0	0	0	0	0	1
2022/08/12 11.00.58	0	0	0	0	0	0	1
2022/08/12 11.00.59	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.01.00	0	0	0	0	0	0	1
