Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 11.26.27	0	0	0	0	0	0	1
2022/08/12 11.26.28	0	0	0	0	0	0	1
2022/08/12 11.26.31	1	0	0	0	0	0	1
2022/08/12 11.26.32	0	0	0	0	0	0	1
2022/08/12 11.26.33	0	0	0	0	0	0	1
2022/08/12 11.26.34	1	0	0	0	0	0	1
2022/08/12 11.26.35	2	0	0	0	0	0	1
2022/08/12 11.26.36	0	0	0	0	0	0	1
2022/08/12 11.26.37	0	0	0	0	0	0	1
2022/08/12 11.26.38	1	0	0	0	0	0	1
2022/08/12 11.26.39	0	0	0	0	0	0	1
2022/08/12 11.26.40	1	0	0	0	0	0	1
2022/08/12 11.26.41	0	0	0	0	0	0	1
2022/08/12 11.26.42	0	0	0	0	0	0	1
2022/08/12 11.26.43	0	0	0	0	0	0	1
2022/08/12 11.26.44	1	0	0	0	0	0	1
2022/08/12 11.26.45	0	0	0	0	0	0	1
2022/08/12 11.26.46	2	0	0	0	0	0	1
2022/08/12 11.26.47	0	0	0	0	0	0	1
2022/08/12 11.26.48	1	0	0	0	0	0	1
2022/08/12 11.26.49	1	0	0	0	0	0	1
2022/08/12 11.26.50	2	0	0	0	0	0	1
2022/08/12 11.26.51	0	0	0	0	0	0	1
2022/08/12 11.26.52	1	0	0	0	0	0	1
2022/08/12 11.26.53	1	0	0	0	0	0	1
2022/08/12 11.26.54	2	0	0	0	0	0	1
2022/08/12 11.26.55	0	0	0	0	0	0	1
2022/08/12 11.26.56	1	0	0	0	0	0	1
2022/08/12 11.26.57	1	0	0	0	0	0	1
2022/08/12 11.26.58	3	0	0	0	0	0	1
2022/08/12 11.26.59	0	0	0	0	0	0	1
2022/08/12 11.27.00	0	0	0	0	0	0	1
2022/08/12 11.27.01	1	0	0	0	0	0	1
2022/08/12 11.27.02	1	0	0	0	0	0	1
2022/08/12 11.27.03	1	0	0	0	0	0	1
2022/08/12 11.27.04	1	0	0	0	0	0	1
2022/08/12 11.27.05	0	0	0	0	0	0	1
2022/08/12 11.27.06	0	0	0	0	0	0	1
2022/08/12 11.27.07	0	0	0	0	0	0	1
2022/08/12 11.27.08	0	0	0	0	0	0	1
2022/08/12 11.27.09	0	0	0	0	0	0	1
2022/08/12 11.27.10	0	0	0	0	0	0	1
2022/08/12 11.27.11	4	0	0	0	0	0	1
2022/08/12 11.27.12	2	0	0	0	0	0	1
2022/08/12 11.27.13	1	0	0	0	0	0	1
2022/08/12 11.27.14	2	0	0	0	0	0	1
2022/08/12 11.27.15	1	0	0	0	0	0	1
2022/08/12 11.27.16	0	0	0	0	0	0	1
2022/08/12 11.27.17	0	0	0	0	0	0	1
2022/08/12 11.27.18	0	0	0	0	0	0	1
