Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 14.04.35	0	0	0	0	0	0	1
2022/08/12 14.04.36	0	0	0	0	0	0	1
2022/08/12 14.04.37	0	0	0	0	0	0	1
2022/08/12 14.04.38	0	0	0	0	0	0	1
2022/08/12 14.04.39	0	0	0	0	0	0	1
2022/08/12 14.04.40	0	0	0	0	0	0	1
2022/08/12 14.04.41	0	0	0	0	0	0	1
2022/08/12 14.04.42	0	0	0	0	0	0	1
2022/08/12 14.04.43	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.04.44	0	0	0	0	0	0	1
2022/08/12 14.04.45	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.04.46	0	0	0	0	0	0	1
2022/08/12 14.04.47	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.04.48	0	0	0	0	0	0	1
2022/08/12 14.04.49	0	0	0	0	0	0	1
2022/08/12 14.04.50	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.04.51	0	0	0	0	0	0	1
2022/08/12 14.04.52	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.04.53	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.04.54	0	0	0	0	0	0	1
2022/08/12 14.04.55	0	0	0	0	0	0	1
2022/08/12 14.04.56	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.04.57	0	0	0	0	0	0	1
2022/08/12 14.04.58	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.04.59	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.00	0	0	0	0	0	0	1
2022/08/12 14.05.01	0	0	0	0	0	0	1
2022/08/12 14.05.02	0	0	0	0	0	0	1
2022/08/12 14.05.03	0	0	0	0	0	0	1
2022/08/12 14.05.04	0	0	0	0	0	0	1
2022/08/12 14.05.05	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.06	0	0	0	0	0	0	1
2022/08/12 14.05.07	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.08	0	0	0	0	0	0	1
2022/08/12 14.05.09	0	0	0	0	0	0	1
2022/08/12 14.05.10	0	0	0	0	0	0	1
2022/08/12 14.05.11	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.05.12	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.13	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.14	0	0	0	0	0	0	1
2022/08/12 14.05.15	0	0	0	0	0	0	1
2022/08/12 14.05.16	0	0	0	0	0	0	1
2022/08/12 14.05.17	0	0	0	0	0	0	1
2022/08/12 14.05.18	811	811	48660	14568,8622754491	14,5688622754491	145,688622754491	1
2022/08/12 14.05.19	13456	13456	807360	241724,550898204	241,724550898204	2417,24550898204	1
2022/08/12 14.05.20	16845	16845	1010700	302604,790419162	302,604790419162	3026,04790419162	1
2022/08/12 14.05.21	16706	16706	1002360	300107,784431138	300,107784431138	3001,07784431138	1
2022/08/12 14.05.22	14089	14089	845340	253095,808383234	253,095808383234	2530,95808383234	1
2022/08/12 14.05.23	2175	2175	130500	39071,8562874252	39,0718562874251	390,718562874251	1
2022/08/12 14.05.24	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.25	0	0	0	0	0	0	1
2022/08/12 14.05.26	0	0	0	0	0	0	1
2022/08/12 14.05.27	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.28	0	0	0	0	0	0	1
2022/08/12 14.05.29	0	0	0	0	0	0	1
2022/08/12 14.05.30	0	0	0	0	0	0	1
2022/08/12 14.05.31	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.32	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.05.33	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.05.34	0	0	0	0	0	0	1
2022/08/12 14.05.35	0	0	0	0	0	0	1
2022/08/12 14.05.36	0	0	0	0	0	0	1
2022/08/12 14.05.37	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.38	0	0	0	0	0	0	1
2022/08/12 14.05.39	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.40	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.41	0	0	0	0	0	0	1
2022/08/12 14.05.42	0	0	0	0	0	0	1
2022/08/12 14.05.43	0	0	0	0	0	0	1
2022/08/12 14.05.44	0	0	0	0	0	0	1
2022/08/12 14.05.45	0	0	0	0	0	0	1
2022/08/12 14.05.46	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.47	0	0	0	0	0	0	1
2022/08/12 14.05.48	0	0	0	0	0	0	1
2022/08/12 14.05.49	0	0	0	0	0	0	1
2022/08/12 14.05.50	0	0	0	0	0	0	1
2022/08/12 14.05.51	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.05.52	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.53	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.54	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.05.55	0	0	0	0	0	0	1
2022/08/12 14.05.56	0	0	0	0	0	0	1
2022/08/12 14.05.57	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.05.58	0	0	0	0	0	0	1
2022/08/12 14.05.59	0	0	0	0	0	0	1
2022/08/12 14.06.00	0	0	0	0	0	0	1
2022/08/12 14.06.01	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.06.02	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.06.03	0	0	0	0	0	0	1
2022/08/12 14.06.04	0	0	0	0	0	0	1
2022/08/12 14.06.05	0	0	0	0	0	0	1
2022/08/12 14.06.06	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.06.07	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.06.08	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.06.09	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.06.10	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.06.11	0	0	0	0	0	0	1
2022/08/12 14.06.12	0	0	0	0	0	0	1
2022/08/12 14.06.13	4	4	240	71,8562874251497	0,0718562874251497	0,718562874251497	1
2022/08/12 14.06.14	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.06.15	0	0	0	0	0	0	1
2022/08/12 14.06.16	0	0	0	0	0	0	1
2022/08/12 14.06.17	0	0	0	0	0	0	1
2022/08/12 14.06.18	0	0	0	0	0	0	1
2022/08/12 14.06.19	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.06.20	0	0	0	0	0	0	1
2022/08/12 14.06.21	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.06.22	0	0	0	0	0	0	1
2022/08/12 14.06.23	0	0	0	0	0	0	1
