Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 14.06.40	0	0	0	0	0	0	1
2022/08/12 14.06.41	0	0	0	0	0	0	1
2022/08/12 14.06.42	0	0	0	0	0	0	1
2022/08/12 14.06.43	0	0	0	0	0	0	1
2022/08/12 14.06.44	0	0	0	0	0	0	1
2022/08/12 14.06.45	0	0	0	0	0	0	1
2022/08/12 14.06.46	0	0	0	0	0	0	1
2022/08/12 14.06.47	0	0	0	0	0	0	1
2022/08/12 14.06.48	0	0	0	0	0	0	1
2022/08/12 14.06.49	0	0	0	0	0	0	1
2022/08/12 14.06.50	0	0	0	0	0	0	1
2022/08/12 14.06.51	0	0	0	0	0	0	1
2022/08/12 14.06.52	3	0	0	0	0	0	1
2022/08/12 14.06.53	0	0	0	0	0	0	1
2022/08/12 14.06.54	1	0	0	0	0	0	1
2022/08/12 14.06.55	0	0	0	0	0	0	1
2022/08/12 14.06.56	1	0	0	0	0	0	1
2022/08/12 14.06.57	0	0	0	0	0	0	1
2022/08/12 14.06.58	0	0	0	0	0	0	1
2022/08/12 14.06.59	2	0	0	0	0	0	1
2022/08/12 14.07.00	0	0	0	0	0	0	1
2022/08/12 14.07.01	1	0	0	0	0	0	1
2022/08/12 14.07.02	0	0	0	0	0	0	1
2022/08/12 14.07.03	2	0	0	0	0	0	1
2022/08/12 14.07.04	1	0	0	0	0	0	1
2022/08/12 14.07.05	1	0	0	0	0	0	1
2022/08/12 14.07.06	0	0	0	0	0	0	1
2022/08/12 14.07.07	0	0	0	0	0	0	1
2022/08/12 14.07.08	0	0	0	0	0	0	1
2022/08/12 14.07.09	0	0	0	0	0	0	1
2022/08/12 14.07.10	2	0	0	0	0	0	1
2022/08/12 14.07.11	1	0	0	0	0	0	1
2022/08/12 14.07.12	4	0	0	0	0	0	1
2022/08/12 14.07.13	0	0	0	0	0	0	1
2022/08/12 14.07.14	1	0	0	0	0	0	1
2022/08/12 14.07.15	1	0	0	0	0	0	1
2022/08/12 14.07.16	0	0	0	0	0	0	1
2022/08/12 14.07.17	3	0	0	0	0	0	1
2022/08/12 14.07.18	0	0	0	0	0	0	1
2022/08/12 14.07.19	1	0	0	0	0	0	1
2022/08/12 14.07.20	0	0	0	0	0	0	1
2022/08/12 14.07.21	1	0	0	0	0	0	1
2022/08/12 14.07.22	1	0	0	0	0	0	1
2022/08/12 14.07.23	0	0	0	0	0	0	1
2022/08/12 14.07.24	0	0	0	0	0	0	1
2022/08/12 14.07.25	0	0	0	0	0	0	1
2022/08/12 14.07.26	0	0	0	0	0	0	1
2022/08/12 14.07.29	1	0	0	0	0	0	1
2022/08/12 14.07.30	0	0	0	0	0	0	1
2022/08/12 14.07.31	0	0	0	0	0	0	1
2022/08/12 14.07.32	1	0	0	0	0	0	1
2022/08/12 14.07.33	1	0	0	0	0	0	1
2022/08/12 14.07.34	3	0	0	0	0	0	1
2022/08/12 14.07.35	0	0	0	0	0	0	1
2022/08/12 14.07.36	1	0	0	0	0	0	1
2022/08/12 14.07.37	1	0	0	0	0	0	1
2022/08/12 14.07.38	1	0	0	0	0	0	1
2022/08/12 14.07.39	1	0	0	0	0	0	1
2022/08/12 14.07.40	0	0	0	0	0	0	1
2022/08/12 14.07.41	0	0	0	0	0	0	1
2022/08/12 14.07.42	0	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.07.43	0	0	0	0	0	0	1
2022/08/12 14.07.44	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.07.45	0	0	0	0	0	0	1
2022/08/12 14.07.46	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.07.47	0	0	0	0	0	0	1
2022/08/12 14.07.48	0	0	0	0	0	0	1
2022/08/12 14.07.49	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.07.50	1	0	0	0	0	0	1
2022/08/12 14.07.51	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.07.52	1	0	0	0	0	0	1
2022/08/12 14.07.53	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.07.54	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.07.55	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.07.56	0	0	0	0	0	0	1
2022/08/12 14.07.57	0	0	0	0	0	0	1
2022/08/12 14.07.58	1	0	0	0	0	0	1
2022/08/12 14.07.59	0	0	0	0	0	0	1
2022/08/12 14.08.00	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.08.01	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.02	0	4	240	71,8562874251497	0,0718562874251497	0,718562874251497	1
2022/08/12 14.08.03	1	0	0	0	0	0	1
2022/08/12 14.08.04	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.05	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.06	1	0	0	0	0	0	1
2022/08/12 14.08.07	0	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.08.08	2	0	0	0	0	0	1
2022/08/12 14.08.09	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.10	1	0	0	0	0	0	1
2022/08/12 14.08.11	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.12	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.13	0	0	0	0	0	0	1
2022/08/12 14.08.14	0	0	0	0	0	0	1
2022/08/12 14.08.15	1	0	0	0	0	0	1
2022/08/12 14.08.16	0	0	0	0	0	0	1
2022/08/12 14.08.17	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.18	0	0	0	0	0	0	1
2022/08/12 14.08.19	2	0	0	0	0	0	1
2022/08/12 14.08.20	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.21	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.22	2	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.08.23	0	0	0	0	0	0	1
2022/08/12 14.08.24	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.25	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.26	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.27	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.28	1	0	0	0	0	0	1
2022/08/12 14.08.29	1	0	0	0	0	0	1
2022/08/12 14.08.30	1	0	0	0	0	0	1
2022/08/12 14.08.31	0	0	0	0	0	0	1
2022/08/12 14.08.32	0	0	0	0	0	0	1
2022/08/12 14.08.33	0	0	0	0	0	0	1
2022/08/12 14.08.34	0	0	0	0	0	0	1
2022/08/12 14.08.35	1	0	0	0	0	0	1
2022/08/12 14.08.36	0	0	0	0	0	0	1
2022/08/12 14.08.37	0	0	0	0	0	0	1
2022/08/12 14.08.38	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.39	1	0	0	0	0	0	1
2022/08/12 14.08.40	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.08.41	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.08.42	0	0	0	0	0	0	0
2022/08/12 14.08.43	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.08.44	0	0	0	0	0	0	0
2022/08/12 14.08.45	0	0	0	0	0	0	0
2022/08/12 14.08.46	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.08.47	0	0	0	0	0	0	0
2022/08/12 14.08.48	0	0	0	0	0	0	0
2022/08/12 14.08.49	0	0	0	0	0	0	0
2022/08/12 14.08.50	0	0	0	0	0	0	0
2022/08/12 14.08.51	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.08.52	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.08.53	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.08.54	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.08.55	0	0	0	0	0	0	0
2022/08/12 14.08.56	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	0
2022/08/12 14.08.57	0	0	0	0	0	0	0
2022/08/12 14.08.58	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.08.59	0	0	0	0	0	0	0
2022/08/12 14.09.00	0	0	0	0	0	0	0
2022/08/12 14.09.01	0	0	0	0	0	0	0
2022/08/12 14.09.02	0	0	0	0	0	0	0
2022/08/12 14.09.03	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.09.04	0	0	0	0	0	0	0
2022/08/12 14.09.05	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	0
2022/08/12 14.09.06	0	0	0	0	0	0	0
2022/08/12 14.09.07	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	0
2022/08/12 14.09.08	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.09.09	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.09.10	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	0
2022/08/12 14.09.11	0	0	0	0	0	0	0
2022/08/12 14.09.12	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.09.13	0	0	0	0	0	0	0
2022/08/12 14.09.14	0	0	0	0	0	0	0
2022/08/12 14.09.15	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.09.16	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.09.17	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.09.18	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.09.19	0	0	0	0	0	0	0
2022/08/12 14.09.20	0	0	0	0	0	0	0
2022/08/12 14.09.21	0	0	0	0	0	0	0
2022/08/12 14.09.22	0	0	0	0	0	0	0
2022/08/12 14.09.23	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.09.24	0	0	0	0	0	0	0
2022/08/12 14.09.25	0	0	0	0	0	0	0
2022/08/12 14.09.26	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	0
2022/08/12 14.09.27	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.09.28	0	0	0	0	0	0	0
