Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 11.14.52	0	0	0	0	0	0	1
2022/08/12 11.14.53	0	0	0	0	0	0	1
2022/08/12 11.14.54	0	0	0	0	0	0	1
2022/08/12 11.14.55	0	0	0	0	0	0	1
2022/08/12 11.14.56	0	0	0	0	0	0	1
2022/08/12 11.14.58	1	0	0	0	0	0	1
2022/08/12 11.14.59	0	0	0	0	0	0	1
2022/08/12 11.15.00	1	0	0	0	0	0	1
2022/08/12 11.15.01	2	0	0	0	0	0	1
2022/08/12 11.15.02	1	0	0	0	0	0	1
2022/08/12 11.15.03	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.04	1	0	0	0	0	0	1
2022/08/12 11.15.05	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.06	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.15.07	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.08	1	0	0	0	0	0	1
2022/08/12 11.15.09	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.10	0	0	0	0	0	0	1
2022/08/12 11.15.11	1	0	0	0	0	0	1
2022/08/12 11.15.12	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.13	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.14	1	0	0	0	0	0	1
2022/08/12 11.15.15	1	0	0	0	0	0	1
2022/08/12 11.15.16	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.17	1	0	0	0	0	0	1
2022/08/12 11.15.18	0	0	0	0	0	0	1
2022/08/12 11.15.19	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.20	3	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.21	0	0	0	0	0	0	1
2022/08/12 11.15.22	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.23	0	0	0	0	0	0	1
2022/08/12 11.15.24	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.15.25	0	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 11.15.26	2	0	0	0	0	0	1
2022/08/12 11.15.27	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.29	1	0	0	0	0	0	1
2022/08/12 11.15.29	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.30	1	0	0	0	0	0	1
2022/08/12 11.15.31	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.15.32	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.33	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.34	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.35	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.36	2	0	0	0	0	0	1
2022/08/12 11.15.37	0	0	0	0	0	0	1
2022/08/12 11.15.38	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.39	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.40	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.41	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.15.42	1	0	0	0	0	0	1
2022/08/12 11.15.43	0	0	0	0	0	0	1
2022/08/12 11.15.44	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.45	0	0	0	0	0	0	1
2022/08/12 11.15.46	0	0	0	0	0	0	1
2022/08/12 11.15.47	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.48	2	0	0	0	0	0	1
2022/08/12 11.15.49	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.50	0	0	0	0	0	0	1
2022/08/12 11.15.51	0	0	0	0	0	0	1
2022/08/12 11.15.52	1	0	0	0	0	0	1
2022/08/12 11.15.53	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.15.54	0	0	0	0	0	0	1
2022/08/12 11.15.55	0	0	0	0	0	0	1
2022/08/12 11.15.56	1	0	0	0	0	0	1
2022/08/12 11.15.57	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.15.58	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.15.59	1	0	0	0	0	0	1
2022/08/12 11.16.00	0	0	0	0	0	0	1
2022/08/12 11.16.01	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.16.02	0	0	0	0	0	0	1
2022/08/12 11.16.03	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.16.04	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.16.05	0	0	0	0	0	0	1
2022/08/12 11.16.06	0	0	0	0	0	0	1
2022/08/12 11.16.07	0	0	0	0	0	0	1
2022/08/12 11.16.08	0	0	0	0	0	0	1
2022/08/12 11.16.09	0	0	0	0	0	0	1
2022/08/12 11.16.10	0	0	0	0	0	0	1
2022/08/12 11.16.11	0	0	0	0	0	0	1
2022/08/12 11.16.12	0	0	0	0	0	0	1
2022/08/12 11.16.13	1	0	0	0	0	0	1
2022/08/12 11.16.14	1	0	0	0	0	0	1
2022/08/12 11.16.15	0	0	0	0	0	0	0
2022/08/12 11.16.16	0	0	0	0	0	0	0
2022/08/12 11.16.17	0	0	0	0	0	0	0
2022/08/12 11.16.18	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 11.16.19	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
