Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 11.25.04	0	0	0	0	0	0	1
2022/08/12 11.25.05	0	0	0	0	0	0	1
2022/08/12 11.25.06	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.25.07	0	0	0	0	0	0	1
2022/08/12 11.25.08	0	0	0	0	0	0	1
2022/08/12 11.25.09	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.10	0	0	0	0	0	0	1
2022/08/12 11.25.11	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.12	0	0	0	0	0	0	1
2022/08/12 11.25.13	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.14	0	0	0	0	0	0	1
2022/08/12 11.25.15	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.16	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.17	0	0	0	0	0	0	1
2022/08/12 11.25.18	0	0	0	0	0	0	1
2022/08/12 11.25.19	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.20	0	0	0	0	0	0	1
2022/08/12 11.25.21	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.22	0	0	0	0	0	0	1
2022/08/12 11.25.23	0	0	0	0	0	0	1
2022/08/12 11.25.24	0	0	0	0	0	0	1
2022/08/12 11.25.25	0	0	0	0	0	0	1
2022/08/12 11.25.26	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.25.27	0	0	0	0	0	0	1
2022/08/12 11.25.28	0	0	0	0	0	0	1
2022/08/12 11.25.29	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.30	1952	1952	117120	35065,8682634731	35,0658682634731	350,658682634731	1
2022/08/12 11.25.31	11704	11704	702240	210251,497005988	210,251497005988	2102,51497005988	1
2022/08/12 11.25.32	12591	12591	755460	226185,628742515	226,185628742515	2261,85628742515	1
2022/08/12 11.25.34	12663	12663	759780	227479,041916168	227,479041916168	2274,79041916168	1
2022/08/12 11.25.34	13145	13145	788700	236137,724550898	236,137724550898	2361,37724550898	1
2022/08/12 11.25.35	5763	5763	345780	103526,946107784	103,526946107784	1035,26946107784	1
2022/08/12 11.25.37	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.37	0	0	0	0	0	0	1
2022/08/12 11.25.38	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.39	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.40	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.41	0	0	0	0	0	0	1
2022/08/12 11.25.42	0	0	0	0	0	0	1
2022/08/12 11.25.43	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.44	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.45	0	0	0	0	0	0	1
2022/08/12 11.25.46	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 11.25.47	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.48	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.25.49	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.50	0	0	0	0	0	0	1
2022/08/12 11.25.51	0	0	0	0	0	0	1
2022/08/12 11.25.52	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.25.53	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.54	0	0	0	0	0	0	1
2022/08/12 11.25.55	0	0	0	0	0	0	1
2022/08/12 11.25.56	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.25.57	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 11.25.58	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.25.59	0	0	0	0	0	0	1
2022/08/12 11.26.00	0	0	0	0	0	0	1
2022/08/12 11.26.01	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.26.02	0	0	0	0	0	0	1
2022/08/12 11.26.03	0	0	0	0	0	0	1
2022/08/12 11.26.04	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.26.05	0	0	0	0	0	0	1
2022/08/12 11.26.06	0	0	0	0	0	0	1
2022/08/12 11.26.07	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.26.08	0	0	0	0	0	0	1
2022/08/12 11.26.09	0	0	0	0	0	0	1
2022/08/12 11.26.10	0	0	0	0	0	0	1
2022/08/12 11.26.11	0	0	0	0	0	0	1
2022/08/12 11.26.12	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.26.13	0	0	0	0	0	0	1
2022/08/12 11.26.14	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.26.15	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 11.26.16	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
