Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 15.08.05	0	0	0	0	0	0	1
2022/08/12 15.08.06	0	0	0	0	0	0	1
2022/08/12 15.08.07	0	0	0	0	0	0	1
2022/08/12 15.08.08	0	0	0	0	0	0	1
2022/08/12 15.08.09	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.10	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.11	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.08.12	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.13	0	0	0	0	0	0	1
2022/08/12 15.08.14	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.08.15	0	0	0	0	0	0	1
2022/08/12 15.08.16	0	0	0	0	0	0	1
2022/08/12 15.08.17	0	0	0	0	0	0	1
2022/08/12 15.08.18	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.19	0	0	0	0	0	0	1
2022/08/12 15.08.20	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.21	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.08.22	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.23	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.24	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.25	0	0	0	0	0	0	1
2022/08/12 15.08.26	0	0	0	0	0	0	1
2022/08/12 15.08.27	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.28	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.29	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.30	0	0	0	0	0	0	1
2022/08/12 15.08.31	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.08.32	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.08.33	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.34	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.35	0	0	0	0	0	0	1
2022/08/12 15.08.36	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.08.37	0	0	0	0	0	0	1
2022/08/12 15.08.38	0	0	0	0	0	0	1
2022/08/12 15.08.39	0	0	0	0	0	0	1
2022/08/12 15.08.40	0	0	0	0	0	0	1
2022/08/12 15.08.41	0	0	0	0	0	0	1
2022/08/12 15.08.42	0	0	0	0	0	0	1
2022/08/12 15.08.43	0	0	0	0	0	0	1
2022/08/12 15.08.44	0	0	0	0	0	0	1
2022/08/12 15.08.45	0	0	0	0	0	0	1
2022/08/12 15.08.46	0	0	0	0	0	0	1
2022/08/12 15.08.47	0	0	0	0	0	0	1
2022/08/12 15.08.48	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.08.49	0	0	0	0	0	0	1
2022/08/12 15.08.50	0	0	0	0	0	0	1
2022/08/12 15.08.51	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.52	0	0	0	0	0	0	1
2022/08/12 15.08.53	0	0	0	0	0	0	1
2022/08/12 15.08.54	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.55	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.56	0	0	0	0	0	0	1
2022/08/12 15.08.57	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.08.58	0	0	0	0	0	0	1
2022/08/12 15.08.59	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.09.00	0	0	0	0	0	0	1
2022/08/12 15.09.01	0	0	0	0	0	0	1
2022/08/12 15.09.02	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.09.03	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.09.04	0	0	0	0	0	0	1
2022/08/12 15.09.05	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
