Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 15.04.40	0	0	0	0	0	0	1
2022/08/12 15.04.41	1	0	0	0	0	0	1
2022/08/12 15.04.42	1	0	0	0	0	0	1
2022/08/12 15.04.43	2	0	0	0	0	0	1
2022/08/12 15.04.44	3	0	0	0	0	0	1
2022/08/12 15.04.45	1	0	0	0	0	0	1
2022/08/12 15.04.46	2	0	0	0	0	0	1
2022/08/12 15.04.47	0	0	0	0	0	0	1
2022/08/12 15.04.48	1	0	0	0	0	0	1
2022/08/12 15.04.49	0	0	0	0	0	0	1
2022/08/12 15.04.52	1	0	0	0	0	0	1
2022/08/12 15.04.53	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.04.54	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.04.55	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.04.56	0	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 15.04.57	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.04.58	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.04.59	0	0	0	0	0	0	1
2022/08/12 15.05.00	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.01	0	0	0	0	0	0	1
2022/08/12 15.05.02	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.03	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.04	1	0	0	0	0	0	1
2022/08/12 15.05.05	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.06	1	0	0	0	0	0	1
2022/08/12 15.05.07	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.05.08	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.09	0	0	0	0	0	0	1
2022/08/12 15.05.10	1	0	0	0	0	0	1
2022/08/12 15.05.11	1	0	0	0	0	0	1
2022/08/12 15.05.12	2	0	0	0	0	0	1
2022/08/12 15.05.13	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.05.14	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.15	1	0	0	0	0	0	1
2022/08/12 15.05.16	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.17	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.18	0	0	0	0	0	0	1
2022/08/12 15.05.19	0	0	0	0	0	0	1
2022/08/12 15.05.20	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.21	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.22	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.05.23	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.05.24	2	0	0	0	0	0	1
2022/08/12 15.05.25	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.26	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.05.27	0	0	0	0	0	0	1
2022/08/12 15.05.28	1	0	0	0	0	0	1
2022/08/12 15.05.29	1	0	0	0	0	0	1
2022/08/12 15.05.30	0	0	0	0	0	0	1
2022/08/12 15.05.31	1	0	0	0	0	0	1
2022/08/12 15.05.32	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.05.33	0	0	0	0	0	0	1
2022/08/12 15.05.34	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.05.35	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.05.36	1	0	0	0	0	0	1
2022/08/12 15.05.37	2	0	0	0	0	0	1
2022/08/12 15.05.38	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.39	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.40	2	0	0	0	0	0	1
2022/08/12 15.05.41	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.42	0	0	0	0	0	0	1
2022/08/12 15.05.43	0	0	0	0	0	0	1
2022/08/12 15.05.44	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.45	1	0	0	0	0	0	1
2022/08/12 15.05.46	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.47	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.05.48	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.49	1	0	0	0	0	0	1
2022/08/12 15.05.50	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 15.05.51	0	0	0	0	0	0	1
2022/08/12 15.05.52	4	0	0	0	0	0	1
2022/08/12 15.05.53	1	0	0	0	0	0	1
2022/08/12 15.05.54	1	0	0	0	0	0	1
2022/08/12 15.05.55	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.05.56	0	0	0	0	0	0	1
2022/08/12 15.05.57	1	0	0	0	0	0	1
2022/08/12 15.05.58	1	0	0	0	0	0	1
2022/08/12 15.05.59	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.06.00	0	0	0	0	0	0	1
2022/08/12 15.06.01	1	0	0	0	0	0	1
2022/08/12 15.06.02	0	4	240	71,8562874251497	0,0718562874251497	0,718562874251497	1
2022/08/12 15.06.03	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.06.04	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 15.06.05	0	0	0	0	0	0	0
2022/08/12 15.06.06	0	0	0	0	0	0	0
2022/08/12 15.06.07	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 15.06.08	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 15.06.09	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 15.06.10	0	0	0	0	0	0	0
2022/08/12 15.06.11	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 15.06.12	0	0	0	0	0	0	0
2022/08/12 15.06.13	0	0	0	0	0	0	0
2022/08/12 15.06.14	0	0	0	0	0	0	0
