Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 14.32.15	0	0	0	0	0	0	1
2022/08/12 14.32.16	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.17	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.32.18	0	0	0	0	0	0	1
2022/08/12 14.32.19	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.20	0	0	0	0	0	0	1
2022/08/12 14.32.21	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.32.22	0	0	0	0	0	0	1
2022/08/12 14.32.23	0	0	0	0	0	0	1
2022/08/12 14.32.24	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.25	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.26	0	0	0	0	0	0	1
2022/08/12 14.32.27	0	0	0	0	0	0	1
2022/08/12 14.32.28	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.29	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.32.30	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.31	0	0	0	0	0	0	1
2022/08/12 14.32.32	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.33	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.34	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.32.35	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.36	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.37	0	0	0	0	0	0	1
2022/08/12 14.32.38	0	0	0	0	0	0	1
2022/08/12 14.32.39	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.40	0	0	0	0	0	0	1
2022/08/12 14.32.41	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.32.42	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.43	0	0	0	0	0	0	1
2022/08/12 14.32.44	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.32.45	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.32.46	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.32.47	0	0	0	0	0	0	1
2022/08/12 14.32.48	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.49	0	0	0	0	0	0	1
2022/08/12 14.32.50	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.32.51	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.32.52	0	0	0	0	0	0	1
2022/08/12 14.32.53	0	0	0	0	0	0	1
2022/08/12 14.32.54	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.55	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.56	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.57	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.32.58	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.32.59	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.33.00	0	0	0	0	0	0	1
2022/08/12 14.33.01	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.33.02	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.33.03	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.33.04	0	0	0	0	0	0	1
2022/08/12 14.33.05	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.33.06	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.33.07	0	0	0	0	0	0	1
2022/08/12 14.33.08	0	0	0	0	0	0	1
2022/08/12 14.33.09	0	0	0	0	0	0	1
2022/08/12 14.33.10	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.33.11	0	0	0	0	0	0	1
2022/08/12 14.33.12	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.33.13	0	0	0	0	0	0	1
2022/08/12 14.33.14	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.33.15	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.33.16	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.33.17	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.33.18	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
