Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 14.34.03	0	0	0	0	0	0	1
2022/08/12 14.34.04	3	0	0	0	0	0	1
2022/08/12 14.34.05	0	0	0	0	0	0	1
2022/08/12 14.34.06	2	0	0	0	0	0	1
2022/08/12 14.34.07	0	0	0	0	0	0	1
2022/08/12 14.34.08	1	0	0	0	0	0	1
2022/08/12 14.34.09	0	0	0	0	0	0	1
2022/08/12 14.34.12	0	0	0	0	0	0	1
2022/08/12 14.34.13	1	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.34.14	0	0	0	0	0	0	1
2022/08/12 14.34.15	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.34.16	1	0	0	0	0	0	1
2022/08/12 14.34.17	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.18	2	0	0	0	0	0	1
2022/08/12 14.34.19	1	0	0	0	0	0	1
2022/08/12 14.34.20	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.21	2	0	0	0	0	0	1
2022/08/12 14.34.22	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.23	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.24	1	0	0	0	0	0	1
2022/08/12 14.34.25	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.34.26	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.27	2	0	0	0	0	0	1
2022/08/12 14.34.28	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.34.29	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.30	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.34.31	4	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.32	1	0	0	0	0	0	1
2022/08/12 14.34.33	0	0	0	0	0	0	1
2022/08/12 14.34.34	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.34.35	0	0	0	0	0	0	1
2022/08/12 14.34.36	0	0	0	0	0	0	1
2022/08/12 14.34.37	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.34.38	0	4	240	71,8562874251497	0,0718562874251497	0,718562874251497	1
2022/08/12 14.34.39	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.40	0	0	0	0	0	0	1
2022/08/12 14.34.41	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.42	0	0	0	0	0	0	1
2022/08/12 14.34.43	1	0	0	0	0	0	1
2022/08/12 14.34.44	0	0	0	0	0	0	1
2022/08/12 14.34.45	1	0	0	0	0	0	1
2022/08/12 14.34.46	1	0	0	0	0	0	1
2022/08/12 14.34.47	0	0	0	0	0	0	1
2022/08/12 14.34.48	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.49	1	0	0	0	0	0	1
2022/08/12 14.34.50	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.51	0	0	0	0	0	0	1
2022/08/12 14.34.52	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.53	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.54	1	0	0	0	0	0	1
2022/08/12 14.34.55	3	0	0	0	0	0	1
2022/08/12 14.34.56	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.34.57	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.34.58	0	0	0	0	0	0	1
2022/08/12 14.34.59	1	0	0	0	0	0	1
2022/08/12 14.35.00	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.35.01	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.35.02	0	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	0
2022/08/12 14.35.03	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	0
2022/08/12 14.35.04	0	0	0	0	0	0	0
2022/08/12 14.35.05	0	0	0	0	0	0	0
2022/08/12 14.35.06	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.35.07	0	0	0	0	0	0	0
2022/08/12 14.35.08	0	0	0	0	0	0	0
