Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 14.49.17	3	0	0	0	0	0	1
2022/08/12 14.49.18	1	0	0	0	0	0	1
2022/08/12 14.49.19	1	0	0	0	0	0	1
2022/08/12 14.49.20	2	0	0	0	0	0	1
2022/08/12 14.49.21	0	0	0	0	0	0	1
2022/08/12 14.49.22	1	0	0	0	0	0	1
2022/08/12 14.49.23	2	0	0	0	0	0	1
2022/08/12 14.49.24	0	0	0	0	0	0	1
2022/08/12 14.49.25	1	0	0	0	0	0	1
2022/08/12 14.49.26	1	0	0	0	0	0	1
2022/08/12 14.49.27	0	0	0	0	0	0	1
2022/08/12 14.49.30	1	0	0	0	0	0	1
2022/08/12 14.49.31	0	0	0	0	0	0	1
2022/08/12 14.49.33	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.49.34	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.49.35	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.49.36	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.49.37	0	0	0	0	0	0	1
2022/08/12 14.49.38	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.49.39	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.49.40	0	0	0	0	0	0	1
2022/08/12 14.49.41	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.49.42	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.49.43	1	0	0	0	0	0	1
2022/08/12 14.49.44	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.49.45	2	0	0	0	0	0	1
2022/08/12 14.49.46	2	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.49.47	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.49.48	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.49.49	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.49.50	1	0	0	0	0	0	1
2022/08/12 14.49.51	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.49.52	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.49.53	0	0	0	0	0	0	1
2022/08/12 14.49.54	0	0	0	0	0	0	1
2022/08/12 14.49.55	1	0	0	0	0	0	1
2022/08/12 14.49.56	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.49.57	3	0	0	0	0	0	1
2022/08/12 14.49.58	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.49.59	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.50.00	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.50.01	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.50.02	1	0	0	0	0	0	1
2022/08/12 14.50.03	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.50.04	2	0	0	0	0	0	1
2022/08/12 14.50.05	1	0	0	0	0	0	1
2022/08/12 14.50.06	1	0	0	0	0	0	1
2022/08/12 14.50.07	1	0	0	0	0	0	1
2022/08/12 14.50.08	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.50.09	2	0	0	0	0	0	1
2022/08/12 14.50.10	1	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.50.11	2	0	0	0	0	0	1
2022/08/12 14.50.12	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.50.13	0	0	0	0	0	0	0
2022/08/12 14.50.14	0	0	0	0	0	0	0
2022/08/12 14.50.15	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.50.16	0	0	0	0	0	0	0
2022/08/12 14.50.17	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	0
2022/08/12 14.50.18	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.50.19	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.50.20	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.50.21	0	0	0	0	0	0	0
2022/08/12 14.50.22	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	0
2022/08/12 14.50.23	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	0
2022/08/12 14.50.24	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	0
