Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 14.52.52	0	0	0	0	0	0	1
2022/08/12 14.52.53	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.52.54	0	0	0	0	0	0	1
2022/08/12 14.52.55	0	0	0	0	0	0	1
2022/08/12 14.52.56	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.52.57	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.52.58	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.52.59	0	0	0	0	0	0	1
2022/08/12 14.53.00	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.01	0	0	0	0	0	0	1
2022/08/12 14.53.02	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.53.03	0	0	0	0	0	0	1
2022/08/12 14.53.04	0	0	0	0	0	0	1
2022/08/12 14.53.05	0	0	0	0	0	0	1
2022/08/12 14.53.06	0	0	0	0	0	0	1
2022/08/12 14.53.07	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.53.08	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.09	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.10	0	0	0	0	0	0	1
2022/08/12 14.53.11	0	0	0	0	0	0	1
2022/08/12 14.53.12	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.53.13	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.14	0	0	0	0	0	0	1
2022/08/12 14.53.15	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.53.16	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.17	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.18	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.19	0	0	0	0	0	0	1
2022/08/12 14.53.20	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.21	0	0	0	0	0	0	1
2022/08/12 14.53.22	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.23	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.24	0	0	0	0	0	0	1
2022/08/12 14.53.25	0	0	0	0	0	0	1
2022/08/12 14.53.26	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.53.27	0	0	0	0	0	0	1
2022/08/12 14.53.28	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.29	0	0	0	0	0	0	1
2022/08/12 14.53.30	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.31	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.53.32	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.33	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.53.34	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.35	0	0	0	0	0	0	1
2022/08/12 14.53.36	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.37	0	0	0	0	0	0	1
2022/08/12 14.53.38	0	0	0	0	0	0	1
2022/08/12 14.53.39	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.40	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 14.53.41	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.42	0	0	0	0	0	0	1
2022/08/12 14.53.43	0	0	0	0	0	0	1
2022/08/12 14.53.44	0	0	0	0	0	0	1
2022/08/12 14.53.45	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.46	0	0	0	0	0	0	1
2022/08/12 14.53.47	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.48	0	0	0	0	0	0	1
2022/08/12 14.53.49	0	0	0	0	0	0	1
2022/08/12 14.53.50	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.53.51	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.52	0	0	0	0	0	0	1
2022/08/12 14.53.53	0	0	0	0	0	0	1
2022/08/12 14.53.54	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.55	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.53.56	0	0	0	0	0	0	1
2022/08/12 14.53.57	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.53.58	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 14.53.59	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.54.00	0	0	0	0	0	0	1
2022/08/12 14.54.01	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.54.02	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 14.54.03	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
