Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 10.12.43	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.12.44	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.12.45	0	0	0	0	0	0	1
2022/08/12 10.12.46	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.12.47	0	0	0	0	0	0	1
2022/08/12 10.12.48	5	5	300	89,8203592814371	0,0898203592814371	0,898203592814371	1
2022/08/12 10.12.49	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.12.50	0	0	0	0	0	0	1
2022/08/12 10.12.51	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.12.52	0	0	0	0	0	0	1
2022/08/12 10.12.53	0	0	0	0	0	0	1
2022/08/12 10.12.54	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.12.55	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.12.56	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.12.57	0	0	0	0	0	0	1
2022/08/12 10.12.58	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.12.59	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.00	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.01	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.13.02	6	6	360	107,784431137725	0,107784431137725	1,07784431137725	1
2022/08/12 10.13.03	0	0	0	0	0	0	1
2022/08/12 10.13.04	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.05	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.06	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.07	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.08	0	0	0	0	0	0	1
2022/08/12 10.13.09	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.10	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.11	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.12	0	0	0	0	0	0	1
2022/08/12 10.13.13	0	0	0	0	0	0	1
2022/08/12 10.13.14	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.15	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.16	0	0	0	0	0	0	1
2022/08/12 10.13.17	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.18	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.19	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.20	0	0	0	0	0	0	1
2022/08/12 10.13.21	0	0	0	0	0	0	1
2022/08/12 10.13.22	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.23	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.13.24	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.25	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.26	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.27	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.28	0	0	0	0	0	0	1
2022/08/12 10.13.29	0	0	0	0	0	0	1
2022/08/12 10.13.30	0	0	0	0	0	0	1
2022/08/12 10.13.31	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.32	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.33	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.34	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.35	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.36	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.37	0	0	0	0	0	0	1
2022/08/12 10.13.38	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.13.39	0	0	0	0	0	0	1
2022/08/12 10.13.40	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.41	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.13.42	0	0	0	0	0	0	1
2022/08/12 10.13.43	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.44	0	0	0	0	0	0	1
2022/08/12 10.13.45	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.46	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.47	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.48	0	0	0	0	0	0	1
2022/08/12 10.13.49	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.13.50	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.51	0	0	0	0	0	0	1
2022/08/12 10.13.52	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.53	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.13.54	0	0	0	0	0	0	1
2022/08/12 10.13.55	0	0	0	0	0	0	1
2022/08/12 10.13.56	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
