Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 10.02.16	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.02.17	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.18	0	0	0	0	0	0	1
2022/08/12 10.02.19	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.02.20	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.02.21	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.02.22	0	0	0	0	0	0	1
2022/08/12 10.02.23	0	0	0	0	0	0	1
2022/08/12 10.02.24	0	0	0	0	0	0	1
2022/08/12 10.02.25	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.26	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.27	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.02.28	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.02.29	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.02.30	0	0	0	0	0	0	1
2022/08/12 10.02.31	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.02.32	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.33	0	0	0	0	0	0	1
2022/08/12 10.02.34	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.35	0	0	0	0	0	0	1
2022/08/12 10.02.36	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.37	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.38	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.02.39	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.40	0	0	0	0	0	0	1
2022/08/12 10.02.41	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.02.42	0	0	0	0	0	0	1
2022/08/12 10.02.43	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.44	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.45	0	0	0	0	0	0	1
2022/08/12 10.02.46	0	0	0	0	0	0	1
2022/08/12 10.02.47	0	0	0	0	0	0	1
2022/08/12 10.02.48	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.49	0	0	0	0	0	0	1
2022/08/12 10.02.50	0	0	0	0	0	0	1
2022/08/12 10.02.51	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.52	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.53	0	0	0	0	0	0	1
2022/08/12 10.02.54	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.55	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.56	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.02.57	0	0	0	0	0	0	1
2022/08/12 10.02.58	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.02.59	0	0	0	0	0	0	1
2022/08/12 10.03.00	0	0	0	0	0	0	1
2022/08/12 10.03.01	0	0	0	0	0	0	1
2022/08/12 10.03.02	0	0	0	0	0	0	1
2022/08/12 10.03.03	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.04	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.05	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.06	0	0	0	0	0	0	1
2022/08/12 10.03.07	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.08	0	0	0	0	0	0	1
2022/08/12 10.03.09	0	0	0	0	0	0	1
2022/08/12 10.03.10	0	0	0	0	0	0	1
2022/08/12 10.03.11	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.12	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.13	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.14	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.15	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.16	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.17	0	0	0	0	0	0	1
2022/08/12 10.03.18	0	0	0	0	0	0	1
2022/08/12 10.03.19	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.20	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.21	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.22	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.03.23	0	0	0	0	0	0	1
2022/08/12 10.03.24	0	0	0	0	0	0	1
2022/08/12 10.03.25	0	0	0	0	0	0	1
