Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 09.43.56	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.43.57	0	0	0	0	0	0	1
2022/08/12 09.43.58	0	0	0	0	0	0	1
2022/08/12 09.43.59	0	0	0	0	0	0	1
2022/08/12 09.44.00	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.01	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.02	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 09.44.03	0	0	0	0	0	0	1
2022/08/12 09.44.04	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 09.44.05	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.06	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 09.44.07	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.08	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 09.44.09	0	0	0	0	0	0	1
2022/08/12 09.44.10	0	0	0	0	0	0	1
2022/08/12 09.44.11	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.12	0	0	0	0	0	0	1
2022/08/12 09.44.13	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.14	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 09.44.15	0	0	0	0	0	0	1
2022/08/12 09.44.16	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.17	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.18	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.19	0	0	0	0	0	0	1
2022/08/12 09.44.20	0	0	0	0	0	0	1
2022/08/12 09.44.21	0	0	0	0	0	0	1
2022/08/12 09.44.22	0	0	0	0	0	0	1
2022/08/12 09.44.23	0	0	0	0	0	0	1
2022/08/12 09.44.24	0	0	0	0	0	0	1
2022/08/12 09.44.25	0	0	0	0	0	0	1
2022/08/12 09.44.26	0	0	0	0	0	0	1
2022/08/12 09.44.27	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.28	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.29	0	0	0	0	0	0	1
2022/08/12 09.44.30	0	0	0	0	0	0	1
2022/08/12 09.44.31	0	0	0	0	0	0	1
2022/08/12 09.44.32	0	0	0	0	0	0	1
2022/08/12 09.44.33	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.34	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.35	0	0	0	0	0	0	1
2022/08/12 09.44.36	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.37	0	0	0	0	0	0	1
2022/08/12 09.44.38	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.39	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.40	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 09.44.41	0	0	0	0	0	0	1
2022/08/12 09.44.42	0	0	0	0	0	0	1
2022/08/12 09.44.43	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.44	0	0	0	0	0	0	1
2022/08/12 09.44.45	0	0	0	0	0	0	1
2022/08/12 09.44.46	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.47	0	0	0	0	0	0	1
2022/08/12 09.44.48	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.49	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 09.44.50	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 09.44.51	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
