Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 10.37.02	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.37.03	0	0	0	0	0	0	1
2022/08/12 10.37.04	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.37.05	0	0	0	0	0	0	1
2022/08/12 10.37.06	0	0	0	0	0	0	1
2022/08/12 10.37.07	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.37.08	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.37.09	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.37.10	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.37.11	0	0	0	0	0	0	1
2022/08/12 10.37.12	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.37.13	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.37.14	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.37.15	0	0	0	0	0	0	1
2022/08/12 10.37.16	0	0	0	0	0	0	1
2022/08/12 10.37.17	0	0	0	0	0	0	1
2022/08/12 10.37.18	0	0	0	0	0	0	1
2022/08/12 10.37.19	0	0	0	0	0	0	1
2022/08/12 10.37.20	0	0	0	0	0	0	1
2022/08/12 10.37.21	0	0	0	0	0	0	1
2022/08/12 10.37.22	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.37.23	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.37.24	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.37.25	0	0	0	0	0	0	1
2022/08/12 10.37.26	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.37.27	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.37.28	0	0	0	0	0	0	1
2022/08/12 10.37.29	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.37.30	0	0	0	0	0	0	1
2022/08/12 10.37.31	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
