Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 11.06.49	0	0	0	0	0	0	1
2022/08/12 11.06.50	0	0	0	0	0	0	1
2022/08/12 11.06.51	0	0	0	0	0	0	1
2022/08/12 11.06.52	0	0	0	0	0	0	1
2022/08/12 11.06.53	0	0	0	0	0	0	1
2022/08/12 11.06.54	0	0	0	0	0	0	1
2022/08/12 11.06.55	3	0	0	0	0	0	1
2022/08/12 11.06.56	1	0	0	0	0	0	1
2022/08/12 11.06.57	2	0	0	0	0	0	1
2022/08/12 11.06.58	1	0	0	0	0	0	1
2022/08/12 11.06.59	1	0	0	0	0	0	1
2022/08/12 11.07.02	1	0	0	0	0	0	1
2022/08/12 11.07.03	1	0	0	0	0	0	1
2022/08/12 11.07.04	2	0	0	0	0	0	1
2022/08/12 11.07.05	1	0	0	0	0	0	1
2022/08/12 11.07.06	1	0	0	0	0	0	1
2022/08/12 11.07.07	0	0	0	0	0	0	1
2022/08/12 11.07.08	0	0	0	0	0	0	1
2022/08/12 11.07.09	1	0	0	0	0	0	1
2022/08/12 11.07.10	1	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 11.07.11	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.12	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.07.13	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.14	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.15	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.16	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.17	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.07.18	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.19	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.20	3	0	0	0	0	0	1
2022/08/12 11.07.21	0	0	0	0	0	0	1
2022/08/12 11.07.22	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.23	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.24	0	0	0	0	0	0	1
2022/08/12 11.07.25	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.26	0	0	0	0	0	0	1
2022/08/12 11.07.27	0	0	0	0	0	0	1
2022/08/12 11.07.28	2	0	0	0	0	0	1
2022/08/12 11.07.29	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.30	1	0	0	0	0	0	1
2022/08/12 11.07.31	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.32	0	0	0	0	0	0	1
2022/08/12 11.07.34	1	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 11.07.34	1	0	0	0	0	0	1
2022/08/12 11.07.35	2	0	0	0	0	0	1
2022/08/12 11.07.36	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 11.07.37	0	0	0	0	0	0	1
2022/08/12 11.07.38	2	0	0	0	0	0	1
2022/08/12 11.07.39	0	0	0	0	0	0	1
2022/08/12 11.07.40	0	0	0	0	0	0	1
2022/08/12 11.07.41	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 11.07.42	0	0	0	0	0	0	1
2022/08/12 11.07.43	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
