Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 10.48.27	0	0	0	0	0	0	1
2022/08/12 10.48.28	1	0	0	0	0	0	1
2022/08/12 10.48.29	2	0	0	0	0	0	1
2022/08/12 10.48.30	0	0	0	0	0	0	1
2022/08/12 10.48.31	0	0	0	0	0	0	1
2022/08/12 10.48.32	1	0	0	0	0	0	1
2022/08/12 10.48.33	2	0	0	0	0	0	1
2022/08/12 10.48.34	0	0	0	0	0	0	1
2022/08/12 10.48.35	0	0	0	0	0	0	1
2022/08/12 10.48.36	0	0	0	0	0	0	1
2022/08/12 10.48.37	0	0	0	0	0	0	1
2022/08/12 10.48.38	0	0	0	0	0	0	1
2022/08/12 10.48.39	1	0	0	0	0	0	1
2022/08/12 10.48.40	0	0	0	0	0	0	1
2022/08/12 10.48.41	1	0	0	0	0	0	1
2022/08/12 10.48.42	0	0	0	0	0	0	1
2022/08/12 10.48.43	0	0	0	0	0	0	1
2022/08/12 10.48.44	0	0	0	0	0	0	1
2022/08/12 10.48.45	0	0	0	0	0	0	1
2022/08/12 10.48.46	0	0	0	0	0	0	1
2022/08/12 10.48.47	1	0	0	0	0	0	1
2022/08/12 10.48.48	1	0	0	0	0	0	1
2022/08/12 10.48.49	1	0	0	0	0	0	1
2022/08/12 10.48.50	1	0	0	0	0	0	1
2022/08/12 10.48.51	1	0	0	0	0	0	1
2022/08/12 10.48.52	0	0	0	0	0	0	1
2022/08/12 10.48.53	1	0	0	0	0	0	1
2022/08/12 10.48.54	1	0	0	0	0	0	1
2022/08/12 10.48.55	1	0	0	0	0	0	1
2022/08/12 10.48.56	0	0	0	0	0	0	1
2022/08/12 10.48.57	2	0	0	0	0	0	1
2022/08/12 10.48.58	0	0	0	0	0	0	1
2022/08/12 10.49.01	0	0	0	0	0	0	1
2022/08/12 10.49.02	0	0	0	0	0	0	1
2022/08/12 10.49.03	0	0	0	0	0	0	1
2022/08/12 10.49.04	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.05	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.49.06	1	0	0	0	0	0	1
2022/08/12 10.49.07	0	0	0	0	0	0	1
2022/08/12 10.49.08	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.09	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.49.10	2	0	0	0	0	0	1
2022/08/12 10.49.11	3	0	0	0	0	0	1
2022/08/12 10.49.12	1	0	0	0	0	0	1
2022/08/12 10.49.13	0	0	0	0	0	0	1
2022/08/12 10.49.14	0	0	0	0	0	0	1
2022/08/12 10.49.15	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.16	0	0	0	0	0	0	1
2022/08/12 10.49.17	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.18	0	0	0	0	0	0	1
2022/08/12 10.49.19	1	0	0	0	0	0	1
2022/08/12 10.49.20	1	0	0	0	0	0	1
2022/08/12 10.49.21	0	0	0	0	0	0	1
2022/08/12 10.49.22	1	0	0	0	0	0	1
2022/08/12 10.49.23	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.24	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.25	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.26	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.27	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.28	0	0	0	0	0	0	1
2022/08/12 10.49.29	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.30	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.31	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.33	0	0	0	0	0	0	1
2022/08/12 10.49.33	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.49.34	1	0	0	0	0	0	1
2022/08/12 10.49.35	0	0	0	0	0	0	1
2022/08/12 10.49.36	1	0	0	0	0	0	1
2022/08/12 10.49.37	1	0	0	0	0	0	1
2022/08/12 10.49.38	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.49.39	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
