Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/12 10.09.39	0	0	0	0	0	0	1
2022/08/12 10.09.40	1	0	0	0	0	0	1
2022/08/12 10.09.41	0	0	0	0	0	0	1
2022/08/12 10.09.42	2	0	0	0	0	0	1
2022/08/12 10.09.43	0	0	0	0	0	0	1
2022/08/12 10.09.44	3	0	0	0	0	0	1
2022/08/12 10.09.45	1	0	0	0	0	0	1
2022/08/12 10.09.46	4	0	0	0	0	0	1
2022/08/12 10.09.47	0	0	0	0	0	0	1
2022/08/12 10.09.48	2	0	0	0	0	0	1
2022/08/12 10.09.49	0	0	0	0	0	0	1
2022/08/12 10.09.50	1	0	0	0	0	0	1
2022/08/12 10.09.51	1	0	0	0	0	0	1
2022/08/12 10.09.52	0	0	0	0	0	0	1
2022/08/12 10.09.53	2	0	0	0	0	0	1
2022/08/12 10.09.54	0	0	0	0	0	0	1
2022/08/12 10.09.55	3	0	0	0	0	0	1
2022/08/12 10.09.56	0	0	0	0	0	0	1
2022/08/12 10.09.58	5	0	0	0	0	0	1
2022/08/12 10.09.59	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.00	1	0	0	0	0	0	1
2022/08/12 10.10.01	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.10.02	2	0	0	0	0	0	1
2022/08/12 10.10.03	1	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.10.04	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.05	0	4	240	71,8562874251497	0,0718562874251497	0,718562874251497	1
2022/08/12 10.10.06	0	0	0	0	0	0	1
2022/08/12 10.10.07	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.10.08	1	0	0	0	0	0	1
2022/08/12 10.10.09	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.10	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.11	0	0	0	0	0	0	1
2022/08/12 10.10.12	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.10.13	2	0	0	0	0	0	1
2022/08/12 10.10.14	1	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.10.15	3	0	0	0	0	0	1
2022/08/12 10.10.16	2	5	300	89,8203592814371	0,0898203592814371	0,898203592814371	1
2022/08/12 10.10.17	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.18	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.19	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.20	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.10.21	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.22	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.23	0	0	0	0	0	0	1
2022/08/12 10.10.24	0	0	0	0	0	0	1
2022/08/12 10.10.25	0	0	0	0	0	0	1
2022/08/12 10.10.26	4	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.27	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.29	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.29	1	0	0	0	0	0	1
2022/08/12 10.10.30	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.31	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.10.32	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.33	0	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/12 10.10.34	3	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.10.35	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.36	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.37	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/12 10.10.38	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/12 10.10.39	0	0	0	0	0	0	1
2022/08/12 10.10.40	1	0	0	0	0	0	1
2022/08/12 10.10.41	2	0	0	0	0	0	1
2022/08/12 10.10.42	0	0	0	0	0	0	1
2022/08/12 10.10.43	1	0	0	0	0	0	1
