Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/23 16:41:05	0	0	0	0	0	0	1
2022/08/23 16:41:06	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:07	0	0	0	0	0	0	1
2022/08/23 16:41:08	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:09	0	0	0	0	0	0	1
2022/08/23 16:41:10	0	0	0	0	0	0	1
2022/08/23 16:41:11	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:12	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/23 16:41:13	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:14	0	0	0	0	0	0	1
2022/08/23 16:41:15	0	0	0	0	0	0	1
2022/08/23 16:41:16	0	0	0	0	0	0	1
2022/08/23 16:41:17	0	0	0	0	0	0	1
2022/08/23 16:41:18	0	0	0	0	0	0	1
2022/08/23 16:41:19	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:20	0	0	0	0	0	0	1
2022/08/23 16:41:21	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:22	0	0	0	0	0	0	1
2022/08/23 16:41:23	0	0	0	0	0	0	1
2022/08/23 16:41:24	0	0	0	0	0	0	1
2022/08/23 16:41:25	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:26	0	0	0	0	0	0	1
2022/08/23 16:41:27	0	0	0	0	0	0	1
2022/08/23 16:41:28	0	0	0	0	0	0	1
2022/08/23 16:41:29	0	0	0	0	0	0	1
2022/08/23 16:41:30	0	0	0	0	0	0	1
2022/08/23 16:41:31	0	0	0	0	0	0	1
2022/08/23 16:41:32	0	0	0	0	0	0	1
2022/08/23 16:41:33	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/23 16:41:34	0	0	0	0	0	0	1
2022/08/23 16:41:35	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/23 16:41:36	0	0	0	0	0	0	1
2022/08/23 16:41:37	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/23 16:41:38	0	0	0	0	0	0	1
2022/08/23 16:41:39	0	0	0	0	0	0	1
2022/08/23 16:41:40	861	861	51660	15467.0658682635	15.4670658682635	154.670658682635	1
2022/08/23 16:41:41	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:42	0	0	0	0	0	0	1
2022/08/23 16:41:43	0	0	0	0	0	0	1
2022/08/23 16:41:44	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:45	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:46	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:47	0	0	0	0	0	0	1
2022/08/23 16:41:48	0	0	0	0	0	0	1
2022/08/23 16:41:49	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:50	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:51	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:52	0	0	0	0	0	0	1
2022/08/23 16:41:53	0	0	0	0	0	0	1
2022/08/23 16:41:54	0	0	0	0	0	0	1
2022/08/23 16:41:55	0	0	0	0	0	0	1
2022/08/23 16:41:56	0	0	0	0	0	0	1
2022/08/23 16:41:57	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:41:58	0	0	0	0	0	0	1
2022/08/23 16:41:59	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/23 16:42:00	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:01	0	0	0	0	0	0	1
2022/08/23 16:42:02	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:03	0	0	0	0	0	0	1
2022/08/23 16:42:04	0	0	0	0	0	0	1
2022/08/23 16:42:05	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:06	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:07	0	0	0	0	0	0	1
2022/08/23 16:42:08	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:09	0	0	0	0	0	0	1
2022/08/23 16:42:10	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:11	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:12	0	0	0	0	0	0	1
2022/08/23 16:42:13	0	0	0	0	0	0	1
2022/08/23 16:42:14	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:15	0	0	0	0	0	0	1
2022/08/23 16:42:16	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:17	0	0	0	0	0	0	1
2022/08/23 16:42:18	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:19	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:20	0	0	0	0	0	0	1
2022/08/23 16:42:21	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:22	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/23 16:42:23	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/23 16:42:24	0	0	0	0	0	0	1
2022/08/23 16:42:25	0	0	0	0	0	0	1
2022/08/23 16:42:26	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:27	0	0	0	0	0	0	1
2022/08/23 16:42:28	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:29	0	0	0	0	0	0	1
2022/08/23 16:42:30	0	0	0	0	0	0	1
2022/08/23 16:42:31	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/23 16:42:32	0	0	0	0	0	0	1
2022/08/23 16:42:33	0	0	0	0	0	0	1
2022/08/23 16:42:34	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/23 16:42:35	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
