Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/23 16:37:11	1	0	0	0	0	0	1
2022/08/23 16:37:12	2	0	0	0	0	0	1
2022/08/23 16:37:13	1	0	0	0	0	0	1
2022/08/23 16:37:14	1	0	0	0	0	0	1
2022/08/23 16:37:15	0	0	0	0	0	0	1
2022/08/23 16:37:16	2	0	0	0	0	0	1
2022/08/23 16:37:17	1	0	0	0	0	0	1
2022/08/23 16:37:18	0	0	0	0	0	0	1
2022/08/23 16:37:19	0	0	0	0	0	0	1
2022/08/23 16:37:20	0	0	0	0	0	0	1
2022/08/23 16:37:21	1	0	0	0	0	0	1
2022/08/23 16:37:22	0	0	0	0	0	0	1
2022/08/23 16:37:23	0	0	0	0	0	0	1
2022/08/23 16:37:24	1	0	0	0	0	0	1
2022/08/23 16:37:25	0	0	0	0	0	0	1
2022/08/23 16:37:26	0	0	0	0	0	0	1
2022/08/23 16:37:27	0	0	0	0	0	0	1
2022/08/23 16:37:28	0	0	0	0	0	0	1
2022/08/23 16:37:29	1	0	0	0	0	0	1
2022/08/23 16:37:30	0	0	0	0	0	0	1
2022/08/23 16:37:31	0	0	0	0	0	0	1
2022/08/23 16:37:32	1	0	0	0	0	0	1
2022/08/23 16:37:33	1	0	0	0	0	0	1
2022/08/23 16:37:34	0	0	0	0	0	0	1
2022/08/23 16:37:35	1	0	0	0	0	0	1
2022/08/23 16:37:36	0	0	0	0	0	0	1
2022/08/23 16:37:37	1	0	0	0	0	0	1
2022/08/23 16:37:38	3	0	0	0	0	0	1
2022/08/23 16:37:39	0	0	0	0	0	0	1
2022/08/23 16:37:40	0	0	0	0	0	0	1
2022/08/23 16:37:41	0	0	0	0	0	0	1
2022/08/23 16:37:42	1	0	0	0	0	0	1
2022/08/23 16:37:43	0	0	0	0	0	0	1
2022/08/23 16:37:44	1	0	0	0	0	0	1
2022/08/23 16:37:45	0	0	0	0	0	0	1
2022/08/23 16:37:46	1	0	0	0	0	0	1
2022/08/23 16:37:47	0	0	0	0	0	0	1
2022/08/23 16:37:48	0	0	0	0	0	0	1
2022/08/23 16:37:49	0	0	0	0	0	0	1
2022/08/23 16:37:50	1	0	0	0	0	0	1
2022/08/23 16:37:51	1	0	0	0	0	0	1
2022/08/23 16:37:52	2	0	0	0	0	0	1
2022/08/23 16:37:53	1	0	0	0	0	0	1
2022/08/23 16:37:54	1	0	0	0	0	0	1
2022/08/23 16:37:55	0	0	0	0	0	0	1
2022/08/23 16:37:56	0	0	0	0	0	0	1
2022/08/23 16:37:57	0	0	0	0	0	0	1
2022/08/23 16:37:58	1	0	0	0	0	0	1
2022/08/23 16:37:59	0	0	0	0	0	0	1
2022/08/23 16:38:00	0	0	0	0	0	0	0
2022/08/23 16:38:01	0	0	0	0	0	0	0
2022/08/23 16:38:02	0	0	0	0	0	0	0
2022/08/23 16:38:03	0	0	0	0	0	0	0
2022/08/23 16:38:04	0	0	0	0	0	0	0
2022/08/23 16:38:05	0	0	0	0	0	0	0
2022/08/23 16:38:06	0	0	0	0	0	0	0
2022/08/23 16:38:07	0	0	0	0	0	0	0
2022/08/23 16:38:08	0	0	0	0	0	0	0
2022/08/23 16:38:09	0	0	0	0	0	0	0
2022/08/23 16:38:10	0	0	0	0	0	0	0
2022/08/23 16:38:11	0	0	0	0	0	0	0
2022/08/23 16:38:12	0	0	0	0	0	0	0
2022/08/23 16:38:13	0	0	0	0	0	0	0
2022/08/23 16:38:14	0	0	0	0	0	0	0
2022/08/23 16:38:15	0	0	0	0	0	0	0
2022/08/23 16:38:18	0	0	0	0	0	0	0
2022/08/23 16:38:19	0	0	0	0	0	0	0
2022/08/23 16:38:20	0	0	0	0	0	0	0
2022/08/23 16:38:21	0	0	0	0	0	0	0
2022/08/23 16:38:22	0	0	0	0	0	0	0
2022/08/23 16:38:23	0	0	0	0	0	0	0
2022/08/23 16:38:24	0	0	0	0	0	0	0
2022/08/23 16:38:25	0	0	0	0	0	0	0
2022/08/23 16:38:26	0	0	0	0	0	0	0
2022/08/23 16:38:27	0	0	0	0	0	0	0
2022/08/23 16:38:28	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:38:29	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	0
2022/08/23 16:38:30	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:38:31	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:38:32	0	0	0	0	0	0	0
2022/08/23 16:38:33	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	0
2022/08/23 16:38:34	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:38:35	0	0	0	0	0	0	0
2022/08/23 16:38:36	0	0	0	0	0	0	0
2022/08/23 16:38:37	0	0	0	0	0	0	0
2022/08/23 16:38:38	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:38:39	0	0	0	0	0	0	0
2022/08/23 16:38:40	0	0	0	0	0	0	0
2022/08/23 16:38:41	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:38:42	0	0	0	0	0	0	0
2022/08/23 16:38:43	0	0	0	0	0	0	0
2022/08/23 16:38:44	0	0	0	0	0	0	0
2022/08/23 16:38:45	0	0	0	0	0	0	0
2022/08/23 16:38:46	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:38:47	0	0	0	0	0	0	0
2022/08/23 16:38:48	0	0	0	0	0	0	0
2022/08/23 16:38:49	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:38:50	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:38:51	0	0	0	0	0	0	0
2022/08/23 16:38:52	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:38:53	0	0	0	0	0	0	0
2022/08/23 16:38:54	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:38:55	0	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	0
2022/08/23 16:38:56	0	0	0	0	0	0	0
2022/08/23 16:38:57	0	0	0	0	0	0	0
2022/08/23 16:38:58	0	0	0	0	0	0	0
2022/08/23 16:38:59	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:39:00	0	0	0	0	0	0	0
2022/08/23 16:39:01	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:39:02	0	0	0	0	0	0	0
2022/08/23 16:39:03	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:39:04	0	0	0	0	0	0	0
2022/08/23 16:39:05	0	0	0	0	0	0	0
2022/08/23 16:39:06	0	0	0	0	0	0	0
2022/08/23 16:39:07	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:39:08	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:39:09	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	0
2022/08/23 16:39:10	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:39:11	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:39:12	0	0	0	0	0	0	0
2022/08/23 16:39:13	0	0	0	0	0	0	0
2022/08/23 16:39:14	0	0	0	0	0	0	0
2022/08/23 16:39:15	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/23 16:39:16	0	0	0	0	0	0	0
