Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/23 16:44:26	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/23 16:44:27	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:44:28	0	0	0	0	0	0	1
2022/08/23 16:44:29	0	0	0	0	0	0	1
2022/08/23 16:44:30	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:44:31	0	0	0	0	0	0	1
2022/08/23 16:44:32	0	0	0	0	0	0	1
2022/08/23 16:44:33	0	0	0	0	0	0	1
2022/08/23 16:44:34	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/23 16:44:35	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/23 16:44:36	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/23 16:44:37	0	0	0	0	0	0	1
2022/08/23 16:44:38	0	0	0	0	0	0	1
2022/08/23 16:44:39	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:44:40	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:44:41	0	0	0	0	0	0	1
2022/08/23 16:44:42	0	0	0	0	0	0	1
2022/08/23 16:44:43	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:44:44	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:44:45	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:44:46	0	0	0	0	0	0	1
2022/08/23 16:44:47	0	0	0	0	0	0	1
2022/08/23 16:44:48	0	0	0	0	0	0	1
2022/08/23 16:44:49	0	0	0	0	0	0	1
2022/08/23 16:44:50	0	0	0	0	0	0	1
2022/08/23 16:44:51	0	0	0	0	0	0	1
2022/08/23 16:44:52	0	0	0	0	0	0	1
2022/08/23 16:44:53	0	0	0	0	0	0	1
2022/08/23 16:44:54	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:44:55	0	0	0	0	0	0	1
2022/08/23 16:44:56	0	0	0	0	0	0	1
2022/08/23 16:44:57	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:44:58	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:44:59	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:45:00	0	0	0	0	0	0	1
2022/08/23 16:45:01	0	0	0	0	0	0	1
2022/08/23 16:45:02	0	0	0	0	0	0	1
2022/08/23 16:45:03	0	0	0	0	0	0	1
2022/08/23 16:45:04	0	0	0	0	0	0	1
2022/08/23 16:45:05	0	0	0	0	0	0	1
2022/08/23 16:45:06	0	0	0	0	0	0	1
2022/08/23 16:45:07	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:45:08	0	0	0	0	0	0	1
2022/08/23 16:45:09	0	0	0	0	0	0	1
2022/08/23 16:45:10	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/23 16:45:11	0	0	0	0	0	0	1
2022/08/23 16:45:12	0	0	0	0	0	0	1
2022/08/23 16:45:13	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/23 16:45:14	0	0	0	0	0	0	1
2022/08/23 16:45:15	0	0	0	0	0	0	1
2022/08/23 16:45:16	0	0	0	0	0	0	1
