Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 11.29.40	0	0	0	0	0	0	1
2022/08/19 11.29.41	0	0	0	0	0	0	1
2022/08/19 11.29.42	0	0	0	0	0	0	1
2022/08/19 11.29.43	0	0	0	0	0	0	1
2022/08/19 11.29.44	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.29.45	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.29.46	0	0	0	0	0	0	1
2022/08/19 11.29.47	0	0	0	0	0	0	1
2022/08/19 11.29.48	0	0	0	0	0	0	1
2022/08/19 11.29.49	0	0	0	0	0	0	1
2022/08/19 11.29.50	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 11.29.51	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.29.52	0	0	0	0	0	0	1
2022/08/19 11.29.53	0	0	0	0	0	0	1
2022/08/19 11.29.54	0	0	0	0	0	0	1
2022/08/19 11.29.55	0	0	0	0	0	0	1
2022/08/19 11.29.56	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.29.57	0	0	0	0	0	0	1
2022/08/19 11.29.58	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.29.59	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 11.30.00	0	0	0	0	0	0	1
2022/08/19 11.30.01	0	0	0	0	0	0	1
2022/08/19 11.30.02	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.30.03	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.30.04	0	0	0	0	0	0	1
2022/08/19 11.30.05	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 11.30.06	0	0	0	0	0	0	1
2022/08/19 11.30.07	0	0	0	0	0	0	1
2022/08/19 11.30.08	0	0	0	0	0	0	1
2022/08/19 11.30.09	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 11.30.10	0	0	0	0	0	0	1
2022/08/19 11.30.11	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.30.12	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 11.30.13	0	0	0	0	0	0	1
2022/08/19 11.30.14	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.30.15	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.30.16	0	0	0	0	0	0	1
2022/08/19 11.30.17	0	0	0	0	0	0	1
2022/08/19 11.30.18	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 11.30.19	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 11.30.20	0	0	0	0	0	0	1
2022/08/19 11.30.21	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.30.22	0	0	0	0	0	0	1
2022/08/19 11.30.23	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.30.24	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.30.25	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.30.26	0	0	0	0	0	0	1
2022/08/19 11.30.27	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.30.28	0	0	0	0	0	0	1
2022/08/19 11.30.29	0	0	0	0	0	0	1
