Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 13.35.23	2	0	0	0	0	0	1
2022/08/19 13.35.24	2	0	0	0	0	0	1
2022/08/19 13.35.25	1	0	0	0	0	0	1
2022/08/19 13.35.26	0	0	0	0	0	0	1
2022/08/19 13.35.27	5	0	0	0	0	0	1
2022/08/19 13.35.28	0	0	0	0	0	0	1
2022/08/19 13.35.29	0	0	0	0	0	0	1
2022/08/19 13.35.30	3	0	0	0	0	0	1
2022/08/19 13.35.31	5	0	0	0	0	0	1
2022/08/19 13.35.32	1	0	0	0	0	0	1
2022/08/19 13.35.33	0	0	0	0	0	0	1
2022/08/19 13.35.34	0	0	0	0	0	0	1
2022/08/19 13.35.35	3	0	0	0	0	0	1
2022/08/19 13.35.36	0	0	0	0	0	0	1
2022/08/19 13.35.37	7	0	0	0	0	0	1
2022/08/19 13.35.38	0	0	0	0	0	0	1
2022/08/19 13.35.39	2	0	0	0	0	0	1
2022/08/19 13.35.40	2	0	0	0	0	0	1
2022/08/19 13.35.41	0	0	0	0	0	0	1
2022/08/19 13.35.42	0	0	0	0	0	0	1
2022/08/19 13.35.43	0	0	0	0	0	0	1
2022/08/19 13.35.44	0	0	0	0	0	0	1
2022/08/19 13.35.45	0	0	0	0	0	0	1
2022/08/19 13.35.46	0	0	0	0	0	0	1
2022/08/19 13.35.47	0	0	0	0	0	0	1
2022/08/19 13.35.48	7	0	0	0	0	0	1
2022/08/19 13.35.49	0	0	0	0	0	0	1
2022/08/19 13.35.50	0	0	0	0	0	0	1
2022/08/19 13.35.51	1	0	0	0	0	0	1
2022/08/19 13.35.52	0	0	0	0	0	0	1
2022/08/19 13.35.55	1	0	0	0	0	0	1
2022/08/19 13.35.56	1	0	0	0	0	0	1
2022/08/19 13.35.57	0	0	0	0	0	0	1
2022/08/19 13.35.58	0	0	0	0	0	0	1
2022/08/19 13.35.59	0	0	0	0	0	0	1
2022/08/19 13.36.00	0	0	0	0	0	0	1
2022/08/19 13.36.01	1	0	0	0	0	0	1
2022/08/19 13.36.02	1	0	0	0	0	0	1
2022/08/19 13.36.03	0	0	0	0	0	0	1
2022/08/19 13.36.04	1	0	0	0	0	0	1
2022/08/19 13.36.06	1	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.36.07	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.36.08	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.36.09	0	0	0	0	0	0	1
2022/08/19 13.36.10	1	5	300	89,8203592814371	0,0898203592814371	0,898203592814371	1
2022/08/19 13.36.11	3	0	0	0	0	0	1
2022/08/19 13.36.12	4	0	0	0	0	0	1
2022/08/19 13.36.13	1	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/19 13.36.14	1	5	300	89,8203592814371	0,0898203592814371	0,898203592814371	1
2022/08/19 13.36.15	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.36.16	2	0	0	0	0	0	1
2022/08/19 13.36.17	0	0	0	0	0	0	1
2022/08/19 13.36.18	1	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/19 13.36.19	0	0	0	0	0	0	1
2022/08/19 13.36.20	3	7	420	125,748502994012	0,125748502994012	1,25748502994012	1
2022/08/19 13.36.21	0	0	0	0	0	0	1
2022/08/19 13.36.22	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.36.23	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.36.24	0	0	0	0	0	0	1
2022/08/19 13.36.25	0	0	0	0	0	0	1
2022/08/19 13.36.26	1	0	0	0	0	0	1
2022/08/19 13.36.27	1	0	0	0	0	0	1
2022/08/19 13.36.28	1	0	0	0	0	0	1
2022/08/19 13.36.29	0	0	0	0	0	0	1
2022/08/19 13.36.30	0	0	0	0	0	0	1
