Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 13.47.50	0	0	0	0	0	0	1
2022/08/19 13.47.51	0	0	0	0	0	0	1
2022/08/19 13.47.52	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.47.53	0	0	0	0	0	0	1
2022/08/19 13.47.54	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.47.55	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.47.56	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.47.57	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.47.58	0	0	0	0	0	0	1
2022/08/19 13.47.59	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.48.00	0	0	0	0	0	0	1
2022/08/19 13.48.01	0	0	0	0	0	0	1
2022/08/19 13.48.02	0	0	0	0	0	0	1
2022/08/19 13.48.03	0	0	0	0	0	0	1
2022/08/19 13.48.04	0	0	0	0	0	0	1
2022/08/19 13.48.05	0	0	0	0	0	0	1
2022/08/19 13.48.06	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.48.07	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/19 13.48.08	0	0	0	0	0	0	1
2022/08/19 13.48.09	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.48.10	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.48.11	0	0	0	0	0	0	1
2022/08/19 13.48.12	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.48.13	0	0	0	0	0	0	1
2022/08/19 13.48.14	0	0	0	0	0	0	1
2022/08/19 13.48.15	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.48.16	0	0	0	0	0	0	1
2022/08/19 13.48.17	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.48.18	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.48.19	0	0	0	0	0	0	1
2022/08/19 13.48.20	0	0	0	0	0	0	1
2022/08/19 13.48.21	0	0	0	0	0	0	1
2022/08/19 13.48.22	0	0	0	0	0	0	1
2022/08/19 13.48.23	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.48.24	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.48.25	0	0	0	0	0	0	1
2022/08/19 13.48.26	0	0	0	0	0	0	1
2022/08/19 13.48.27	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.48.28	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.48.29	0	0	0	0	0	0	1
2022/08/19 13.48.30	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.48.31	0	0	0	0	0	0	1
2022/08/19 13.48.32	0	0	0	0	0	0	1
