Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 11.38.15	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.38.16	0	0	0	0	0	0	1
2022/08/19 11.38.17	0	0	0	0	0	0	1
2022/08/19 11.38.18	0	0	0	0	0	0	1
2022/08/19 11.38.19	0	0	0	0	0	0	1
2022/08/19 11.38.20	0	0	0	0	0	0	1
2022/08/19 11.38.21	0	0	0	0	0	0	1
2022/08/19 11.38.22	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.38.23	0	0	0	0	0	0	1
2022/08/19 11.38.24	0	0	0	0	0	0	1
2022/08/19 11.38.25	0	0	0	0	0	0	1
2022/08/19 11.38.26	0	0	0	0	0	0	1
2022/08/19 11.38.27	0	0	0	0	0	0	1
2022/08/19 11.38.28	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.38.29	0	0	0	0	0	0	1
2022/08/19 11.38.30	0	0	0	0	0	0	1
2022/08/19 11.38.31	0	0	0	0	0	0	1
2022/08/19 11.38.32	0	0	0	0	0	0	1
2022/08/19 11.38.33	0	0	0	0	0	0	1
2022/08/19 11.38.34	0	0	0	0	0	0	1
2022/08/19 11.38.35	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.38.36	0	0	0	0	0	0	1
2022/08/19 11.38.37	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.38.38	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.38.39	0	0	0	0	0	0	1
2022/08/19 11.38.40	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.38.41	0	0	0	0	0	0	1
2022/08/19 11.38.42	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.38.43	0	0	0	0	0	0	1
2022/08/19 11.38.44	0	0	0	0	0	0	1
2022/08/19 11.38.45	0	0	0	0	0	0	1
2022/08/19 11.38.46	0	0	0	0	0	0	1
2022/08/19 11.38.47	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 11.38.48	0	0	0	0	0	0	1
2022/08/19 11.38.49	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.38.50	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.38.51	0	0	0	0	0	0	1
2022/08/19 11.38.52	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.38.53	0	0	0	0	0	0	1
2022/08/19 11.38.54	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 11.38.55	0	0	0	0	0	0	1
2022/08/19 11.38.56	0	0	0	0	0	0	1
2022/08/19 11.38.57	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.38.58	0	0	0	0	0	0	1
2022/08/19 11.38.59	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 11.39.00	0	0	0	0	0	0	1
2022/08/19 11.39.01	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
