Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 11.31.59	1	0	0	0	0	0	1
2022/08/19 11.32.00	3	0	0	0	0	0	1
2022/08/19 11.32.01	1	0	0	0	0	0	1
2022/08/19 11.32.02	2	0	0	0	0	0	1
2022/08/19 11.32.03	0	0	0	0	0	0	1
2022/08/19 11.32.04	0	0	0	0	0	0	1
2022/08/19 11.32.05	2	0	0	0	0	0	1
2022/08/19 11.32.06	0	0	0	0	0	0	1
2022/08/19 11.32.07	0	0	0	0	0	0	1
2022/08/19 11.32.08	1	0	0	0	0	0	1
2022/08/19 11.32.09	0	0	0	0	0	0	1
2022/08/19 11.32.10	1	0	0	0	0	0	1
2022/08/19 11.32.11	2	0	0	0	0	0	1
2022/08/19 11.32.12	1	0	0	0	0	0	1
2022/08/19 11.32.13	0	0	0	0	0	0	1
2022/08/19 11.32.14	0	0	0	0	0	0	1
2022/08/19 11.32.15	0	0	0	0	0	0	1
2022/08/19 11.32.16	0	0	0	0	0	0	1
2022/08/19 11.32.17	1	0	0	0	0	0	1
2022/08/19 11.32.18	1	0	0	0	0	0	1
2022/08/19 11.32.19	1	0	0	0	0	0	1
2022/08/19 11.32.20	1	0	0	0	0	0	1
2022/08/19 11.32.21	1	0	0	0	0	0	1
2022/08/19 11.32.22	1	0	0	0	0	0	1
2022/08/19 11.32.23	0	0	0	0	0	0	1
2022/08/19 11.32.24	1	0	0	0	0	0	1
2022/08/19 11.32.25	0	0	0	0	0	0	1
2022/08/19 11.32.26	1	0	0	0	0	0	1
2022/08/19 11.32.27	0	0	0	0	0	0	1
2022/08/19 11.32.28	0	0	0	0	0	0	1
2022/08/19 11.32.29	0	0	0	0	0	0	1
2022/08/19 11.32.30	1	0	0	0	0	0	1
2022/08/19 11.32.31	0	0	0	0	0	0	1
2022/08/19 11.32.32	1	0	0	0	0	0	1
2022/08/19 11.32.33	0	0	0	0	0	0	1
2022/08/19 11.32.34	0	0	0	0	0	0	1
2022/08/19 11.32.35	1	0	0	0	0	0	1
2022/08/19 11.32.36	1	0	0	0	0	0	1
2022/08/19 11.32.37	2	0	0	0	0	0	1
2022/08/19 11.32.38	0	0	0	0	0	0	1
2022/08/19 11.32.39	1	0	0	0	0	0	1
2022/08/19 11.32.40	3	0	0	0	0	0	1
2022/08/19 11.32.41	1	0	0	0	0	0	1
2022/08/19 11.32.42	1	0	0	0	0	0	1
2022/08/19 11.32.43	0	0	0	0	0	0	1
