Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 13.50.39	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.50.40	0	0	0	0	0	0	1
2022/08/19 13.50.41	0	0	0	0	0	0	1
2022/08/19 13.50.42	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.50.44	0	0	0	0	0	0	1
2022/08/19 13.50.45	0	0	0	0	0	0	1
2022/08/19 13.50.46	2	0	0	0	0	0	1
2022/08/19 13.50.47	1	0	0	0	0	0	1
2022/08/19 13.50.48	0	0	0	0	0	0	1
2022/08/19 13.50.49	0	0	0	0	0	0	1
2022/08/19 13.50.50	0	0	0	0	0	0	1
2022/08/19 13.50.51	1	0	0	0	0	0	1
2022/08/19 13.50.52	1	0	0	0	0	0	1
2022/08/19 13.50.53	2	0	0	0	0	0	1
2022/08/19 13.50.54	0	0	0	0	0	0	1
2022/08/19 13.50.55	0	0	0	0	0	0	1
2022/08/19 13.50.56	0	0	0	0	0	0	1
2022/08/19 13.50.57	1	0	0	0	0	0	1
2022/08/19 13.50.58	0	0	0	0	0	0	1
2022/08/19 13.50.59	1	0	0	0	0	0	1
2022/08/19 13.51.00	1	0	0	0	0	0	1
2022/08/19 13.51.01	1	0	0	0	0	0	1
2022/08/19 13.51.02	0	0	0	0	0	0	1
2022/08/19 13.51.03	0	0	0	0	0	0	1
2022/08/19 13.51.04	2	0	0	0	0	0	1
2022/08/19 13.51.05	0	0	0	0	0	0	1
2022/08/19 13.51.06	1	0	0	0	0	0	1
2022/08/19 13.51.07	0	0	0	0	0	0	1
2022/08/19 13.51.08	0	0	0	0	0	0	1
2022/08/19 13.51.09	0	0	0	0	0	0	1
2022/08/19 13.51.10	3	0	0	0	0	0	1
2022/08/19 13.51.11	0	0	0	0	0	0	1
2022/08/19 13.51.12	0	0	0	0	0	0	1
2022/08/19 13.51.13	1	0	0	0	0	0	1
2022/08/19 13.51.14	1	0	0	0	0	0	1
2022/08/19 13.51.15	0	0	0	0	0	0	1
2022/08/19 13.51.16	2	0	0	0	0	0	1
2022/08/19 13.51.17	2	0	0	0	0	0	1
2022/08/19 13.51.18	2	0	0	0	0	0	1
2022/08/19 13.51.19	0	0	0	0	0	0	1
2022/08/19 13.51.20	0	0	0	0	0	0	1
2022/08/19 13.51.21	0	0	0	0	0	0	1
2022/08/19 13.51.22	0	0	0	0	0	0	1
2022/08/19 13.51.23	0	0	0	0	0	0	1
2022/08/19 13.51.24	2	0	0	0	0	0	1
2022/08/19 13.51.25	0	0	0	0	0	0	1
2022/08/19 13.51.26	1	0	0	0	0	0	1
2022/08/19 13.51.27	0	0	0	0	0	0	1
2022/08/19 13.51.28	0	0	0	0	0	0	1
2022/08/19 13.51.29	0	0	0	0	0	0	1
2022/08/19 13.51.30	1	0	0	0	0	0	1
2022/08/19 13.51.31	1	0	0	0	0	0	1
2022/08/19 13.51.32	1	0	0	0	0	0	1
2022/08/19 13.51.33	0	0	0	0	0	0	1
2022/08/19 13.51.34	0	0	0	0	0	0	1
2022/08/19 13.51.35	1	0	0	0	0	0	1
2022/08/19 13.51.36	0	0	0	0	0	0	1
2022/08/19 13.51.37	2	0	0	0	0	0	1
2022/08/19 13.51.38	1	0	0	0	0	0	1
2022/08/19 13.51.39	1	0	0	0	0	0	1
2022/08/19 13.51.40	0	0	0	0	0	0	1
2022/08/19 13.51.41	1	0	0	0	0	0	1
2022/08/19 13.51.42	0	0	0	0	0	0	1
2022/08/19 13.51.43	2	0	0	0	0	0	1
2022/08/19 13.51.44	0	0	0	0	0	0	1
2022/08/19 13.51.45	0	0	0	0	0	0	1
2022/08/19 13.51.46	0	0	0	0	0	0	0
2022/08/19 13.51.47	0	0	0	0	0	0	0
2022/08/19 13.51.48	0	0	0	0	0	0	0
2022/08/19 13.51.49	0	0	0	0	0	0	0
2022/08/19 13.51.50	0	0	0	0	0	0	0
2022/08/19 13.51.51	0	0	0	0	0	0	0
2022/08/19 13.51.52	0	0	0	0	0	0	0
2022/08/19 13.51.53	0	0	0	0	0	0	0
2022/08/19 13.51.54	0	0	0	0	0	0	0
2022/08/19 13.51.55	0	0	0	0	0	0	0
2022/08/19 13.51.56	0	0	0	0	0	0	0
2022/08/19 13.51.57	0	0	0	0	0	0	0
2022/08/19 13.51.58	0	0	0	0	0	0	0
2022/08/19 13.51.59	0	0	0	0	0	0	0
2022/08/19 13.52.00	0	0	0	0	0	0	0
2022/08/19 13.52.01	0	0	0	0	0	0	0
2022/08/19 13.52.02	0	0	0	0	0	0	0
2022/08/19 13.52.03	0	0	0	0	0	0	0
2022/08/19 13.52.04	0	0	0	0	0	0	0
