Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 13.54.31	0	0	0	0	0	0	1
2022/08/19 13.54.32	0	0	0	0	0	0	1
2022/08/19 13.54.33	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.54.34	0	0	0	0	0	0	1
2022/08/19 13.54.35	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.54.36	0	0	0	0	0	0	1
2022/08/19 13.54.37	0	0	0	0	0	0	1
2022/08/19 13.54.38	0	0	0	0	0	0	1
2022/08/19 13.54.39	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.54.40	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.54.41	0	0	0	0	0	0	1
2022/08/19 13.54.42	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.54.43	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.54.44	0	0	0	0	0	0	1
2022/08/19 13.54.45	0	0	0	0	0	0	1
2022/08/19 13.54.46	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.54.47	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.54.48	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.54.49	0	0	0	0	0	0	1
2022/08/19 13.54.50	0	0	0	0	0	0	1
2022/08/19 13.54.51	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.54.52	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.54.53	0	0	0	0	0	0	1
2022/08/19 13.54.54	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.54.55	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.54.56	0	0	0	0	0	0	1
2022/08/19 13.54.57	0	0	0	0	0	0	1
2022/08/19 13.54.58	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.54.59	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.55.00	0	0	0	0	0	0	1
2022/08/19 13.55.01	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.55.02	0	0	0	0	0	0	1
2022/08/19 13.55.03	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.55.04	0	0	0	0	0	0	1
2022/08/19 13.55.05	0	0	0	0	0	0	1
2022/08/19 13.55.06	0	0	0	0	0	0	1
2022/08/19 13.55.07	0	0	0	0	0	0	1
2022/08/19 13.55.08	0	0	0	0	0	0	1
