Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 13.26.53	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.26.54	0	0	0	0	0	0	1
2022/08/19 13.26.54	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.26.56	0	0	0	0	0	0	1
2022/08/19 13.26.56	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.26.57	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.26.59	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.26.59	0	0	0	0	0	0	1
2022/08/19 13.27.00	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.01	0	0	0	0	0	0	1
2022/08/19 13.27.03	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.04	0	0	0	0	0	0	1
2022/08/19 13.27.05	0	0	0	0	0	0	1
2022/08/19 13.27.06	0	0	0	0	0	0	1
2022/08/19 13.27.07	0	0	0	0	0	0	1
2022/08/19 13.27.08	0	0	0	0	0	0	1
2022/08/19 13.27.09	0	0	0	0	0	0	1
2022/08/19 13.27.09	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.27.11	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.11	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.27.13	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.13	0	0	0	0	0	0	1
2022/08/19 13.27.15	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.27.15	0	0	0	0	0	0	1
2022/08/19 13.27.17	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.18	0	0	0	0	0	0	1
2022/08/19 13.27.18	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.19	0	0	0	0	0	0	1
2022/08/19 13.27.21	0	0	0	0	0	0	1
2022/08/19 13.27.22	0	0	0	0	0	0	1
2022/08/19 13.27.23	0	0	0	0	0	0	1
2022/08/19 13.27.24	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.27.25	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.27.25	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/19 13.27.27	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.27.27	0	0	0	0	0	0	1
2022/08/19 13.27.28	0	0	0	0	0	0	1
2022/08/19 13.27.30	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.27.31	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.31	0	0	0	0	0	0	1
2022/08/19 13.27.33	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.34	0	0	0	0	0	0	1
2022/08/19 13.27.35	0	0	0	0	0	0	1
2022/08/19 13.27.36	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.36	0	0	0	0	0	0	1
2022/08/19 13.27.38	0	0	0	0	0	0	1
2022/08/19 13.27.39	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.39	0	0	0	0	0	0	1
2022/08/19 13.27.41	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.42	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.27.43	0	0	0	0	0	0	1
2022/08/19 13.27.43	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.27.45	0	0	0	0	0	0	1
2022/08/19 13.27.46	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.47	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.27.48	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.27.49	0	0	0	0	0	0	1
2022/08/19 13.27.49	0	0	0	0	0	0	1
2022/08/19 13.27.51	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.51	0	0	0	0	0	0	1
2022/08/19 13.27.53	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.27.54	0	0	0	0	0	0	1
2022/08/19 13.27.55	0	0	0	0	0	0	1
2022/08/19 13.27.55	0	0	0	0	0	0	1
2022/08/19 13.27.56	3	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/19 13.27.57	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.27.58	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.00	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.28.00	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.02	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.03	0	0	0	0	0	0	1
2022/08/19 13.28.04	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.28.04	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.06	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.28.07	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.28.07	0	0	0	0	0	0	1
2022/08/19 13.28.08	0	0	0	0	0	0	1
2022/08/19 13.28.10	0	0	0	0	0	0	1
2022/08/19 13.28.10	0	0	0	0	0	0	1
2022/08/19 13.28.12	0	0	0	0	0	0	1
2022/08/19 13.28.13	0	0	0	0	0	0	1
2022/08/19 13.28.14	0	0	0	0	0	0	1
2022/08/19 13.28.15	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.15	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.16	0	0	0	0	0	0	1
2022/08/19 13.28.18	0	0	0	0	0	0	1
2022/08/19 13.28.18	0	0	0	0	0	0	1
2022/08/19 13.28.20	0	0	0	0	0	0	1
2022/08/19 13.28.21	0	0	0	0	0	0	1
2022/08/19 13.28.21	0	0	0	0	0	0	1
2022/08/19 13.28.22	0	0	0	0	0	0	1
2022/08/19 13.28.24	0	0	0	0	0	0	1
2022/08/19 13.28.24	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.25	0	0	0	0	0	0	1
2022/08/19 13.28.27	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.28.27	0	0	0	0	0	0	1
2022/08/19 13.28.29	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.30	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.28.31	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.32	0	0	0	0	0	0	1
2022/08/19 13.28.32	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.33	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.34	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.36	0	0	0	0	0	0	1
2022/08/19 13.28.36	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.28.37	0	0	0	0	0	0	1
2022/08/19 13.28.39	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.28.39	0	0	0	0	0	0	1
2022/08/19 13.28.40	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.42	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.28.43	0	0	0	0	0	0	1
2022/08/19 13.28.44	0	0	0	0	0	0	1
2022/08/19 13.28.45	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.28.45	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.47	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.48	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.48	0	0	0	0	0	0	1
2022/08/19 13.28.49	0	0	0	0	0	0	1
2022/08/19 13.28.51	0	0	0	0	0	0	1
2022/08/19 13.28.51	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.53	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.54	4	4	240	71,8562874251497	0,0718562874251497	0,718562874251497	1
2022/08/19 13.28.55	0	0	0	0	0	0	1
2022/08/19 13.28.55	0	0	0	0	0	0	1
2022/08/19 13.28.57	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.28.57	0	0	0	0	0	0	1
2022/08/19 13.28.58	0	0	0	0	0	0	1
2022/08/19 13.29.00	0	0	0	0	0	0	1
2022/08/19 13.29.00	0	0	0	0	0	0	1
2022/08/19 13.29.02	0	0	0	0	0	0	1
2022/08/19 13.29.02	0	0	0	0	0	0	1
2022/08/19 13.29.03	0	0	0	0	0	0	1
2022/08/19 13.29.05	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.06	0	0	0	0	0	0	1
2022/08/19 13.29.06	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.29.08	0	0	0	0	0	0	1
2022/08/19 13.29.09	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.09	0	0	0	0	0	0	1
2022/08/19 13.29.11	0	0	0	0	0	0	1
2022/08/19 13.29.11	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.29.13	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.13	0	0	0	0	0	0	1
2022/08/19 13.29.15	0	0	0	0	0	0	1
2022/08/19 13.29.16	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.17	0	0	0	0	0	0	1
2022/08/19 13.29.18	0	0	0	0	0	0	1
2022/08/19 13.29.19	0	0	0	0	0	0	1
2022/08/19 13.29.20	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.21	0	0	0	0	0	0	1
2022/08/19 13.29.22	0	0	0	0	0	0	1
2022/08/19 13.29.23	0	0	0	0	0	0	1
2022/08/19 13.29.24	0	0	0	0	0	0	1
2022/08/19 13.29.25	0	0	0	0	0	0	1
2022/08/19 13.29.26	0	0	0	0	0	0	1
2022/08/19 13.29.26	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.28	0	0	0	0	0	0	1
2022/08/19 13.29.29	0	0	0	0	0	0	1
2022/08/19 13.29.30	0	0	0	0	0	0	1
2022/08/19 13.29.31	0	0	0	0	0	0	1
2022/08/19 13.29.32	0	0	0	0	0	0	1
2022/08/19 13.29.33	0	0	0	0	0	0	1
2022/08/19 13.29.33	0	0	0	0	0	0	1
2022/08/19 13.29.35	0	0	0	0	0	0	1
2022/08/19 13.29.36	0	0	0	0	0	0	1
2022/08/19 13.29.37	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.38	0	0	0	0	0	0	1
2022/08/19 13.29.39	0	0	0	0	0	0	1
2022/08/19 13.29.40	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.41	0	0	0	0	0	0	1
2022/08/19 13.29.42	0	0	0	0	0	0	1
2022/08/19 13.29.43	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.29.43	0	0	0	0	0	0	1
2022/08/19 13.29.45	0	0	0	0	0	0	1
2022/08/19 13.29.46	0	0	0	0	0	0	1
2022/08/19 13.29.47	0	0	0	0	0	0	1
2022/08/19 13.29.48	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.29.49	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.50	4	4	240	71,8562874251497	0,0718562874251497	0,718562874251497	1
2022/08/19 13.29.51	0	0	0	0	0	0	1
2022/08/19 13.29.52	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.52	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.54	0	0	0	0	0	0	1
2022/08/19 13.29.55	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.56	0	0	0	0	0	0	1
2022/08/19 13.29.57	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.29.58	0	0	0	0	0	0	1
2022/08/19 13.29.59	0	0	0	0	0	0	1
2022/08/19 13.30.00	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.30.01	0	0	0	0	0	0	1
2022/08/19 13.30.02	0	0	0	0	0	0	1
