Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 13.22.02	0	0	0	0	0	0	1
2022/08/19 13.22.03	0	0	0	0	0	0	1
2022/08/19 13.22.04	0	0	0	0	0	0	1
2022/08/19 13.22.05	0	0	0	0	0	0	1
2022/08/19 13.22.06	0	0	0	0	0	0	1
2022/08/19 13.22.07	0	0	0	0	0	0	1
2022/08/19 13.22.08	0	0	0	0	0	0	1
2022/08/19 13.22.09	2	0	0	0	0	0	1
2022/08/19 13.22.10	0	0	0	0	0	0	1
2022/08/19 13.22.11	7	0	0	0	0	0	1
2022/08/19 13.22.12	1	0	0	0	0	0	1
2022/08/19 13.22.13	0	0	0	0	0	0	1
2022/08/19 13.22.14	0	0	0	0	0	0	1
2022/08/19 13.22.15	0	0	0	0	0	0	1
2022/08/19 13.22.16	0	0	0	0	0	0	1
2022/08/19 13.22.17	0	0	0	0	0	0	1
2022/08/19 13.22.18	0	0	0	0	0	0	1
2022/08/19 13.22.19	0	0	0	0	0	0	1
2022/08/19 13.22.20	0	0	0	0	0	0	1
2022/08/19 13.22.21	1	0	0	0	0	0	1
2022/08/19 13.22.22	0	0	0	0	0	0	1
2022/08/19 13.22.23	1	0	0	0	0	0	1
2022/08/19 13.22.24	0	0	0	0	0	0	1
2022/08/19 13.22.25	3	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.22.26	0	0	0	0	0	0	1
2022/08/19 13.22.27	1	7	420	125,748502994012	0,125748502994012	1,25748502994012	1
2022/08/19 13.22.28	2	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.22.29	5	0	0	0	0	0	1
2022/08/19 13.22.30	3	0	0	0	0	0	1
2022/08/19 13.22.31	0	0	0	0	0	0	1
2022/08/19 13.22.32	0	0	0	0	0	0	1
2022/08/19 13.22.33	3	0	0	0	0	0	1
2022/08/19 13.22.34	0	0	0	0	0	0	1
2022/08/19 13.22.35	0	0	0	0	0	0	1
2022/08/19 13.22.36	0	0	0	0	0	0	1
2022/08/19 13.22.37	4	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.22.39	0	0	0	0	0	0	1
2022/08/19 13.22.39	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.22.40	0	0	0	0	0	0	1
2022/08/19 13.22.42	5	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/19 13.22.42	4	0	0	0	0	0	1
2022/08/19 13.22.43	0	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.22.45	2	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.22.45	0	5	300	89,8203592814371	0,0898203592814371	0,898203592814371	1
2022/08/19 13.22.46	0	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/19 13.22.48	0	0	0	0	0	0	1
2022/08/19 13.22.48	2	0	0	0	0	0	1
2022/08/19 13.22.49	6	3	180	53,8922155688623	0,0538922155688623	0,538922155688623	1
2022/08/19 13.22.50	6	0	0	0	0	0	1
2022/08/19 13.22.51	1	0	0	0	0	0	1
2022/08/19 13.22.52	0	0	0	0	0	0	1
2022/08/19 13.22.54	2	4	240	71,8562874251497	0,0718562874251497	0,718562874251497	1
2022/08/19 13.22.54	0	0	0	0	0	0	1
2022/08/19 13.22.55	2	0	0	0	0	0	1
2022/08/19 13.22.56	0	0	0	0	0	0	1
2022/08/19 13.22.57	0	5	300	89,8203592814371	0,0898203592814371	0,898203592814371	1
2022/08/19 13.22.58	1	4	240	71,8562874251497	0,0718562874251497	0,718562874251497	1
2022/08/19 13.22.59	0	0	0	0	0	0	1
2022/08/19 13.23.00	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.23.01	0	0	0	0	0	0	1
2022/08/19 13.23.02	0	0	0	0	0	0	1
2022/08/19 13.23.03	4	0	0	0	0	0	1
2022/08/19 13.23.04	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.23.06	1	6	360	107,784431137725	0,107784431137725	1,07784431137725	1
2022/08/19 13.23.06	0	6	360	107,784431137725	0,107784431137725	1,07784431137725	1
2022/08/19 13.23.07	1	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.23.09	2	0	0	0	0	0	1
2022/08/19 13.23.09	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.23.10	0	0	0	0	0	0	1
2022/08/19 13.23.11	0	2	120	35,9281437125749	0,0359281437125748	0,359281437125749	1
2022/08/19 13.23.12	0	0	0	0	0	0	1
2022/08/19 13.23.13	2	0	0	0	0	0	1
2022/08/19 13.23.14	3	1	60	17,9640718562874	0,0179640718562874	0,179640718562874	1
2022/08/19 13.23.15	9	0	0	0	0	0	1
2022/08/19 13.23.16	0	0	0	0	0	0	1
2022/08/19 13.23.17	0	0	0	0	0	0	1
2022/08/19 13.23.18	0	0	0	0	0	0	1
2022/08/19 13.23.19	0	4	240	71,8562874251497	0,0718562874251497	0,718562874251497	1
