Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 11:26:27	2	0	0	0	0	0	1
2022/08/19 11:26:28	1	0	0	0	0	0	1
2022/08/19 11:26:29	1	0	0	0	0	0	1
2022/08/19 11:26:30	0	0	0	0	0	0	1
2022/08/19 11:26:31	1	0	0	0	0	0	1
2022/08/19 11:26:32	2	0	0	0	0	0	1
2022/08/19 11:26:33	1	0	0	0	0	0	1
2022/08/19 11:26:34	0	0	0	0	0	0	1
2022/08/19 11:26:35	1	0	0	0	0	0	1
2022/08/19 11:26:36	1	0	0	0	0	0	1
2022/08/19 11:26:37	0	0	0	0	0	0	1
2022/08/19 11:26:38	0	0	0	0	0	0	1
2022/08/19 11:26:39	0	0	0	0	0	0	1
2022/08/19 11:26:40	1	0	0	0	0	0	1
2022/08/19 11:26:41	1	0	0	0	0	0	1
2022/08/19 11:26:42	2	0	0	0	0	0	1
2022/08/19 11:26:43	1	0	0	0	0	0	1
2022/08/19 11:26:44	1	0	0	0	0	0	1
2022/08/19 11:26:45	0	0	0	0	0	0	1
2022/08/19 11:26:46	0	0	0	0	0	0	1
2022/08/19 11:26:47	0	0	0	0	0	0	1
2022/08/19 11:26:48	0	0	0	0	0	0	1
2022/08/19 11:26:49	0	0	0	0	0	0	1
2022/08/19 11:26:50	0	0	0	0	0	0	1
2022/08/19 11:26:51	1	0	0	0	0	0	1
2022/08/19 11:26:52	3	0	0	0	0	0	1
2022/08/19 11:26:53	1	0	0	0	0	0	1
2022/08/19 11:26:54	1	0	0	0	0	0	1
2022/08/19 11:26:55	1	0	0	0	0	0	1
2022/08/19 11:26:56	0	0	0	0	0	0	1
2022/08/19 11:26:57	2	0	0	0	0	0	1
2022/08/19 11:26:58	2	0	0	0	0	0	1
2022/08/19 11:26:59	0	0	0	0	0	0	1
2022/08/19 11:27:00	0	0	0	0	0	0	1
2022/08/19 11:27:01	1	0	0	0	0	0	1
2022/08/19 11:27:02	0	0	0	0	0	0	1
2022/08/19 11:27:03	0	0	0	0	0	0	1
2022/08/19 11:27:04	2	0	0	0	0	0	1
2022/08/19 11:27:05	0	0	0	0	0	0	1
2022/08/19 11:27:06	0	0	0	0	0	0	1
2022/08/19 11:27:07	2	0	0	0	0	0	1
2022/08/19 11:27:08	2	0	0	0	0	0	1
2022/08/19 11:27:09	0	0	0	0	0	0	1
2022/08/19 11:27:10	0	0	0	0	0	0	1
2022/08/19 11:27:11	0	0	0	0	0	0	1
2022/08/19 11:27:12	0	0	0	0	0	0	1
2022/08/19 11:27:13	0	0	0	0	0	0	1
