Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 11:33:38	0	0	0	0	0	0	1
2022/08/19 11:33:39	2	0	0	0	0	0	1
2022/08/19 11:33:40	1	0	0	0	0	0	1
2022/08/19 11:33:41	0	0	0	0	0	0	1
2022/08/19 11:33:42	2	0	0	0	0	0	1
2022/08/19 11:33:43	2	0	0	0	0	0	1
2022/08/19 11:33:44	0	0	0	0	0	0	1
2022/08/19 11:33:45	0	0	0	0	0	0	1
2022/08/19 11:33:46	0	0	0	0	0	0	1
2022/08/19 11:33:47	0	0	0	0	0	0	1
2022/08/19 11:33:48	1	0	0	0	0	0	1
2022/08/19 11:33:49	2	0	0	0	0	0	1
2022/08/19 11:33:50	0	0	0	0	0	0	1
2022/08/19 11:33:51	0	0	0	0	0	0	1
2022/08/19 11:33:52	1	0	0	0	0	0	1
2022/08/19 11:33:53	2	0	0	0	0	0	1
2022/08/19 11:33:54	1	0	0	0	0	0	1
2022/08/19 11:33:55	0	0	0	0	0	0	1
2022/08/19 11:33:56	0	0	0	0	0	0	1
2022/08/19 11:33:57	2	0	0	0	0	0	1
2022/08/19 11:33:58	1	0	0	0	0	0	1
2022/08/19 11:33:59	0	0	0	0	0	0	1
2022/08/19 11:34:00	0	0	0	0	0	0	1
2022/08/19 11:34:01	0	0	0	0	0	0	1
2022/08/19 11:34:02	1	0	0	0	0	0	1
2022/08/19 11:34:03	1	0	0	0	0	0	1
2022/08/19 11:34:04	0	0	0	0	0	0	1
2022/08/19 11:34:05	0	0	0	0	0	0	1
2022/08/19 11:34:06	0	0	0	0	0	0	1
2022/08/19 11:34:07	1	0	0	0	0	0	1
2022/08/19 11:34:08	0	0	0	0	0	0	1
2022/08/19 11:34:09	0	0	0	0	0	0	1
2022/08/19 11:34:10	3	0	0	0	0	0	1
2022/08/19 11:34:11	1	0	0	0	0	0	1
2022/08/19 11:34:12	0	0	0	0	0	0	1
2022/08/19 11:34:13	1	0	0	0	0	0	1
2022/08/19 11:34:14	1	0	0	0	0	0	1
2022/08/19 11:34:15	2	0	0	0	0	0	1
2022/08/19 11:34:16	0	0	0	0	0	0	1
2022/08/19 11:34:17	0	0	0	0	0	0	1
2022/08/19 11:34:18	1	0	0	0	0	0	1
2022/08/19 11:34:19	0	0	0	0	0	0	1
2022/08/19 11:34:20	2	0	0	0	0	0	1
2022/08/19 11:34:21	2	0	0	0	0	0	1
2022/08/19 11:34:22	3	0	0	0	0	0	1
2022/08/19 11:34:23	2	0	0	0	0	0	1
2022/08/19 11:34:26	1	0	0	0	0	0	1
2022/08/19 11:34:27	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 11:34:28	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:34:29	1	0	0	0	0	0	1
2022/08/19 11:34:30	1	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 11:34:31	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 11:34:32	0	0	0	0	0	0	1
2022/08/19 11:34:33	0	0	0	0	0	0	1
2022/08/19 11:34:34	1	0	0	0	0	0	1
2022/08/19 11:34:35	0	0	0	0	0	0	1
2022/08/19 11:34:36	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:34:37	1	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 11:34:38	0	0	0	0	0	0	1
2022/08/19 11:34:39	0	0	0	0	0	0	1
2022/08/19 11:34:40	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:34:41	1	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 11:34:42	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:34:43	1	0	0	0	0	0	1
2022/08/19 11:34:44	0	0	0	0	0	0	1
2022/08/19 11:34:45	1	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 11:34:46	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:34:47	1	0	0	0	0	0	1
2022/08/19 11:34:48	0	0	0	0	0	0	1
2022/08/19 11:34:49	2	0	0	0	0	0	1
2022/08/19 11:34:50	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:34:51	3	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:34:52	0	0	0	0	0	0	1
2022/08/19 11:34:53	0	0	0	0	0	0	1
2022/08/19 11:34:54	0	0	0	0	0	0	1
2022/08/19 11:34:55	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:34:56	0	0	0	0	0	0	1
2022/08/19 11:34:57	0	0	0	0	0	0	1
2022/08/19 11:34:58	0	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/19 11:34:59	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:35:00	0	0	0	0	0	0	1
2022/08/19 11:35:01	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:35:02	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:35:03	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 11:35:04	0	0	0	0	0	0	1
2022/08/19 11:35:05	1	0	0	0	0	0	1
2022/08/19 11:35:06	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:35:07	1	0	0	0	0	0	1
2022/08/19 11:35:08	1	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 11:35:09	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 11:35:10	1	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	1
2022/08/19 11:35:11	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 11:35:12	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:35:13	1	0	0	0	0	0	1
2022/08/19 11:35:14	0	0	0	0	0	0	1
2022/08/19 11:35:15	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:35:16	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 11:35:17	1	0	0	0	0	0	1
2022/08/19 11:35:18	0	0	0	0	0	0	1
2022/08/19 11:35:19	0	0	0	0	0	0	1
2022/08/19 11:35:20	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:21	0	0	0	0	0	0	0
2022/08/19 11:35:22	0	0	0	0	0	0	0
2022/08/19 11:35:23	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:24	0	0	0	0	0	0	0
2022/08/19 11:35:25	0	0	0	0	0	0	0
2022/08/19 11:35:26	0	0	0	0	0	0	0
2022/08/19 11:35:27	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:28	0	0	0	0	0	0	0
2022/08/19 11:35:29	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:30	0	0	0	0	0	0	0
2022/08/19 11:35:31	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:32	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:33	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:34	0	0	0	0	0	0	0
2022/08/19 11:35:35	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	0
2022/08/19 11:35:36	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:37	0	3	180	53.8922155688623	0.0538922155688623	0.538922155688623	0
2022/08/19 11:35:38	0	0	0	0	0	0	0
2022/08/19 11:35:39	0	0	0	0	0	0	0
2022/08/19 11:35:40	0	0	0	0	0	0	0
2022/08/19 11:35:41	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:42	0	0	0	0	0	0	0
2022/08/19 11:35:43	0	0	0	0	0	0	0
2022/08/19 11:35:44	0	0	0	0	0	0	0
2022/08/19 11:35:45	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:46	0	0	0	0	0	0	0
2022/08/19 11:35:47	0	0	0	0	0	0	0
2022/08/19 11:35:48	0	0	0	0	0	0	0
2022/08/19 11:35:49	0	0	0	0	0	0	0
2022/08/19 11:35:50	0	0	0	0	0	0	0
2022/08/19 11:35:51	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:52	0	0	0	0	0	0	0
2022/08/19 11:35:53	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:54	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:55	0	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	0
2022/08/19 11:35:56	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:35:57	0	0	0	0	0	0	0
2022/08/19 11:35:58	0	0	0	0	0	0	0
2022/08/19 11:35:59	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:36:00	0	0	0	0	0	0	0
2022/08/19 11:36:01	0	0	0	0	0	0	0
2022/08/19 11:36:02	0	0	0	0	0	0	0
2022/08/19 11:36:03	0	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	0
2022/08/19 11:36:04	0	0	0	0	0	0	0
2022/08/19 11:36:05	0	0	0	0	0	0	0
