Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 13:05:20	1	0	0	0	0	0	1
2022/08/19 13:05:21	1	0	0	0	0	0	1
2022/08/19 13:05:22	1	0	0	0	0	0	1
2022/08/19 13:05:23	1	0	0	0	0	0	1
2022/08/19 13:05:24	0	0	0	0	0	0	1
2022/08/19 13:05:25	0	0	0	0	0	0	1
2022/08/19 13:05:26	0	0	0	0	0	0	1
2022/08/19 13:05:27	0	0	0	0	0	0	1
2022/08/19 13:05:28	0	0	0	0	0	0	1
2022/08/19 13:05:29	0	0	0	0	0	0	1
2022/08/19 13:05:30	1	0	0	0	0	0	1
2022/08/19 13:05:31	0	0	0	0	0	0	1
2022/08/19 13:05:32	1	0	0	0	0	0	1
2022/08/19 13:05:33	0	0	0	0	0	0	1
2022/08/19 13:05:34	1	0	0	0	0	0	1
2022/08/19 13:05:35	3	0	0	0	0	0	1
2022/08/19 13:05:36	1	0	0	0	0	0	1
2022/08/19 13:05:37	0	0	0	0	0	0	1
2022/08/19 13:05:38	0	0	0	0	0	0	1
2022/08/19 13:05:39	0	0	0	0	0	0	1
2022/08/19 13:05:40	0	0	0	0	0	0	1
2022/08/19 13:05:41	2	0	0	0	0	0	1
2022/08/19 13:05:42	0	0	0	0	0	0	1
2022/08/19 13:05:43	2	0	0	0	0	0	1
2022/08/19 13:05:44	1	0	0	0	0	0	1
2022/08/19 13:05:45	1	0	0	0	0	0	1
2022/08/19 13:05:46	2	0	0	0	0	0	1
2022/08/19 13:05:47	1	0	0	0	0	0	1
2022/08/19 13:05:48	1	0	0	0	0	0	1
2022/08/19 13:05:49	0	0	0	0	0	0	1
2022/08/19 13:05:50	2	0	0	0	0	0	1
2022/08/19 13:05:51	1	0	0	0	0	0	1
2022/08/19 13:05:52	1	0	0	0	0	0	1
2022/08/19 13:05:53	0	0	0	0	0	0	1
2022/08/19 13:05:54	0	0	0	0	0	0	1
2022/08/19 13:05:55	0	0	0	0	0	0	1
2022/08/19 13:05:56	0	0	0	0	0	0	1
2022/08/19 13:05:57	0	0	0	0	0	0	1
2022/08/19 13:05:58	2	0	0	0	0	0	1
2022/08/19 13:05:59	1	0	0	0	0	0	1
2022/08/19 13:06:00	2	0	0	0	0	0	1
2022/08/19 13:06:01	2	0	0	0	0	0	1
2022/08/19 13:06:02	1	0	0	0	0	0	1
2022/08/19 13:06:03	2	0	0	0	0	0	1
2022/08/19 13:06:04	0	0	0	0	0	0	1
2022/08/19 13:06:05	1	0	0	0	0	0	1
2022/08/19 13:06:06	0	0	0	0	0	0	1
2022/08/19 13:06:07	1	0	0	0	0	0	1
2022/08/19 13:06:08	0	0	0	0	0	0	1
2022/08/19 13:06:09	0	0	0	0	0	0	1
2022/08/19 13:06:10	0	0	0	0	0	0	1
2022/08/19 13:06:11	0	0	0	0	0	0	1
2022/08/19 13:06:12	0	0	0	0	0	0	1
2022/08/19 13:06:13	0	0	0	0	0	0	1
2022/08/19 13:06:14	0	0	0	0	0	0	1
2022/08/19 13:06:15	1	0	0	0	0	0	1
2022/08/19 13:06:16	1	0	0	0	0	0	1
2022/08/19 13:06:17	0	0	0	0	0	0	1
2022/08/19 13:06:18	0	0	0	0	0	0	1
2022/08/19 13:06:19	1	0	0	0	0	0	1
2022/08/19 13:06:20	0	0	0	0	0	0	1
2022/08/19 13:06:21	0	0	0	0	0	0	1
2022/08/19 13:06:22	0	0	0	0	0	0	1
2022/08/19 13:06:23	0	0	0	0	0	0	1
2022/08/19 13:06:24	1	0	0	0	0	0	1
2022/08/19 13:06:25	0	0	0	0	0	0	1
2022/08/19 13:06:26	0	0	0	0	0	0	1
2022/08/19 13:06:27	0	0	0	0	0	0	1
2022/08/19 13:06:28	0	0	0	0	0	0	1
2022/08/19 13:06:29	0	0	0	0	0	0	1
2022/08/19 13:06:30	1	0	0	0	0	0	1
2022/08/19 13:06:31	0	0	0	0	0	0	1
2022/08/19 13:06:32	0	0	0	0	0	0	1
2022/08/19 13:06:33	0	0	0	0	0	0	1
2022/08/19 13:06:34	3	0	0	0	0	0	1
2022/08/19 13:06:35	0	0	0	0	0	0	1
2022/08/19 13:06:36	0	0	0	0	0	0	1
2022/08/19 13:06:37	0	0	0	0	0	0	1
2022/08/19 13:06:38	0	0	0	0	0	0	1
2022/08/19 13:06:39	0	0	0	0	0	0	1
2022/08/19 13:06:40	1	0	0	0	0	0	1
2022/08/19 13:06:41	0	0	0	0	0	0	1
2022/08/19 13:06:42	1	0	0	0	0	0	1
2022/08/19 13:06:43	0	0	0	0	0	0	1
2022/08/19 13:06:44	0	0	0	0	0	0	1
2022/08/19 13:06:45	0	0	0	0	0	0	1
2022/08/19 13:06:46	1	0	0	0	0	0	1
2022/08/19 13:06:47	1	0	0	0	0	0	1
2022/08/19 13:06:48	1	0	0	0	0	0	1
2022/08/19 13:06:49	1	0	0	0	0	0	1
2022/08/19 13:06:50	0	0	0	0	0	0	1
2022/08/19 13:06:51	0	0	0	0	0	0	1
2022/08/19 13:06:52	1	0	0	0	0	0	1
2022/08/19 13:06:53	1	0	0	0	0	0	1
2022/08/19 13:06:54	2	0	0	0	0	0	1
2022/08/19 13:06:55	3	0	0	0	0	0	1
2022/08/19 13:06:56	2	0	0	0	0	0	1
2022/08/19 13:06:57	0	0	0	0	0	0	1
2022/08/19 13:06:58	0	0	0	0	0	0	1
2022/08/19 13:06:59	0	0	0	0	0	0	1
2022/08/19 13:07:00	0	0	0	0	0	0	1
2022/08/19 13:07:01	0	0	0	0	0	0	0
2022/08/19 13:07:02	0	0	0	0	0	0	0
2022/08/19 13:07:03	0	0	0	0	0	0	0
2022/08/19 13:07:04	0	0	0	0	0	0	0
2022/08/19 13:07:05	0	0	0	0	0	0	0
2022/08/19 13:07:06	0	0	0	0	0	0	0
2022/08/19 13:07:07	0	0	0	0	0	0	0
2022/08/19 13:07:08	0	0	0	0	0	0	0
2022/08/19 13:07:09	0	0	0	0	0	0	0
2022/08/19 13:07:10	0	0	0	0	0	0	0
2022/08/19 13:07:11	0	0	0	0	0	0	0
2022/08/19 13:07:12	0	0	0	0	0	0	0
2022/08/19 13:07:13	0	0	0	0	0	0	0
2022/08/19 13:07:14	0	0	0	0	0	0	0
2022/08/19 13:07:15	0	0	0	0	0	0	0
2022/08/19 13:07:16	0	0	0	0	0	0	0
2022/08/19 13:07:17	0	0	0	0	0	0	0
2022/08/19 13:07:18	0	0	0	0	0	0	0
2022/08/19 13:07:19	0	0	0	0	0	0	0
2022/08/19 13:07:20	0	0	0	0	0	0	0
2022/08/19 13:07:21	0	0	0	0	0	0	0
2022/08/19 13:07:22	0	0	0	0	0	0	0
2022/08/19 13:07:23	0	0	0	0	0	0	0
2022/08/19 13:07:24	0	0	0	0	0	0	0
2022/08/19 13:07:25	0	0	0	0	0	0	0
2022/08/19 13:07:26	0	0	0	0	0	0	0
2022/08/19 13:07:27	0	0	0	0	0	0	0
2022/08/19 13:07:28	0	0	0	0	0	0	0
2022/08/19 13:07:29	0	0	0	0	0	0	0
2022/08/19 13:07:30	0	0	0	0	0	0	0
2022/08/19 13:07:31	0	0	0	0	0	0	0
2022/08/19 13:07:32	0	0	0	0	0	0	0
2022/08/19 13:07:33	0	0	0	0	0	0	0
2022/08/19 13:07:34	0	0	0	0	0	0	0
2022/08/19 13:07:35	0	0	0	0	0	0	0
2022/08/19 13:07:36	0	0	0	0	0	0	0
2022/08/19 13:07:37	0	0	0	0	0	0	0
2022/08/19 13:07:38	0	0	0	0	0	0	0
2022/08/19 13:07:39	0	0	0	0	0	0	0
2022/08/19 13:07:40	0	0	0	0	0	0	0
2022/08/19 13:07:41	0	0	0	0	0	0	0
2022/08/19 13:07:42	0	0	0	0	0	0	0
